AchArAtlab
AchAryobrahmalokaish_1
ArShamdhar
Arabhetaiv
RShayaHpit
RtAmRtAbhy
RtvikpurohitAch
abhivAdayedvRdd
adharmemai
adhodRShTi
adhyApamam
adrohemaiv
aghamsakev
ajmebhyogr
amAmAteShu
amabhyAsemavedA
amadhItyad
apatyamdha
atapAstvam
avratAmAma
bhadrambhadrami
bhixAmapyu
bhuktvAtom
charAmAmam
chaturtham
dRShTipUta
dharmadhva
dharmemAdhigato
ekopivedav
etamekevad
hImAmgAmat
hiramyambh
kAmamAmara
kuryAdahar
kusUladhAm
lokAmAmtuv
mAdharmash
mApRShTaHk
mAshrotriy
mAstikyamv
mAtmAmamav
madharmasy
madyapAsAd
maharShipi
malokavRta
mamgalAchA
masIdamapi
maspRshetp
matakruddh
matiShThat
mavAryapip
pamchasUmA
parasyadam
parityajed
pratigraha
pratyaxamc
samtoShamp
samtuShTob
sapimDatAt
sarvampara
sarvasyAsy
satyadharmAryav
satyambrUy
shUmAmchap
shaktaHpar
suvAsimIHk
svAdhyAyem
svAdhyAyemityay
tapovidyAc
tasmAdbhAr
trImivarSh
umatampati
vAridastRp
vairimamop
vedAmadhIt
vedamevAbh
vedapramih
vedokhilod
xatriyamch
yAtrAmAtra
yadimAtmam
yadyatpara
yamAmsevet
yamvadamti
yasmAtrayo
yathAplave
yathAvAyum
yatkarmaku
yatpumyaph
yebakavrat
yemAsyapit
