arbhakeShT
bAlyekaura
dimataptAm
jIyAdrasam
madIyemAma
malAjAtomA
mamomecham
preyaHshre
rAvamasyap
satkarmadh
shiromyasy
svAjmAyAmv
tRtIyArthe
yadbhaktih
yatprItidh
