ahetuhasam
bAlyAmekRS
bhUyodarsh
bhavamtovA
brAhmamasy
budhemakAm
dRShTirAva
dRshyateya
gachChamba
gachChatiy
hRdirUpamk
jmAmemamda
kRtArivamc
kavitAkAmi
kavitAkriy
lajAjayati
mAstiviShA
malekhamyA
rasajmaras
sUktirmavI
sUxmAmgImt
sparshamAt
tvAmsamAch
utkrAmtash
vardhatesu
yadIyadhav
yuvatvemam
