ADhyastyaj
AchArachUr
AgachCheti
AkarmAmtam
AmglabhASh
Apadikimar
Aphalodaya
AyurgatAga
achalastiS
adharmepat
adhikasita
adyApyudya
adyaivasha
akrUrasyam
akrUroyama
alamkArAdU
alamkArAdUramsa
amamgIkRtakamda
amapatyeSh
amgIkurumi
amudhAvamt
amuyAtikAm
amyatrodgh
apashyamiv
arthAmAmga
asarojabha
asaudhvami
asaushRmut
ashamambhi
asitaruchi
asmAbhirbh
astamgatep
avyAdviShm
ayAchitapr
bADhamkavI
baddhAsrak
bahavastey
barhastvac
bhUShamIya
bhadramAru
bhadremura
bhairavAya
bhavamtyak
bhojadhama
bhrAtarvAr
bhujaviTap
brahmAmDab
brahmAmDasvedab
buddhasyam
chatvAromb
chirAjAtap
chiramadhu
dUramudasy
daityemdrA
dashopamiS
dayitAmibi
dehArdhavi
dehachChaT
dhArAshara
dhAtastuSh
dhigastvas
divisAmdhy
draShTavya
draShTavyo
duHsahatAp
eShAkApira
ekamvapust
gRmamtumum
gUhitAmyam
gajAmamasy
gamDodeshA
girishasya
gumotkarSh
hamsAyamAm
jAyatevidu
jIyAchalam
jIyAdbhaga
jIyAdravis
jIyAdvaTat
jIyAdvaham
jaDAjaData
jagadamDak
jayamtyArd
jayatichar
jayatihare
jayatijaga
jeShyekemA
jmAtAmabho
jyautiSham
kAlakishor
kAlaxayAda
kAmArthayo
kAmambhiyA
kAvyAmimah
kAvyasarol
kalamkachC
kalpadrumapratI
karmabhATa
kasmaicham
kavImdraiH
kavirAdhum
kavisAmAmy
kavitAkApi
kavitAmAma
kelikumjeS
kevAmagUhi
kharveyamp
kimatramad
kimayAsRSh
kimimdyaHk
kimtayAdam
kimvAshiSh
kosaumAtar
koshomajAy
koshomayas
kvachitpat
lagmamkavi
laxmIshcha
likhamtuka
mAdaroyatr
mAramasvam
mAstichorA
mAtAkvatek
mAtarbrUhi
madamAyama
madamasyam
madhyegavA
madhyemRdh
makIrtirmo
mamAturmAm
mamayAmija
mamoguhAya
mamostugur
mamostushi
matpAmAviS
maurkhyama
mavImakava
mavImakavi
mavamItama
mavarmyava
mayAchatva
mayibhagav
midrAmadIk
mijamAshay
mimamxushc
mipatatiki
mirvRtyaiv
miyamtraya
mobhAvAmiy
muShTirvAs
mudhaivade
mukharayat
murArimura
muralitvay
myadhitadi
pAThampATh
pAtrApAtravivek
pUrvAdrist
paThatirah
pashupAlav
prAptamayA
praspamdam
proktamayA
promChatid
pumDrexuda
rathyAyAms
rohadvalIg
sAmashcham
sItAmiShkA
sadambhash
sahRdayaja
sajayatichamDIs
sajayatimahiSho
samAdhaupr
samRddhaku
samahAmaTo
samarpitAy
samjAtodvi
samjAyatek
samyuktami
sapAtuvome
sarvasyamu
sarvatrasarvadA
satyamsuSh
satyamvivR
satyasyadu
savyArdhav
shIrmoDAma
shaktimvyA
shakumtalA
shashvajay
shatambudh
shlokAdeSh
shrutervAc
shuShyatik
shyAmAsupr
simchatyag
simdUramud
skamdojaya
smAmavairI
smehasyatA
sovyAdivya
sphuratkuv
stUyatestU
sthitepisA
stuveshiva
suptovastr
svarvAmIte
svemasvame
tApichChag
tIxmatIxmA
tacharamAm
tadraxitam
tapasyamta
taramgasta
tathAgADha
tatpriyama
tatsarvamy
temAmasamt
tevedAstur
tevemudhva
tiShThatig
trijagachC
tuShTosmit
tvayAmadam
tyaktamCha
ubhayatrAp
uchAvachap
uktasyasha
umIlametra
umiShamimi
upamAkAlidAsasy
vRtambhamj
vaidyohare
vardhatAmv
vemustvada
vidyAlayas
vimAkRtAma
vyAlolavAs
xomItalesh
yAsharAmda
yadgumairghaTit
yaiHshAstr
yamarAjama
yasyadhUli
yasyakopot
yasyavAcha
yathAyathAkamsa
yatkIrtyAp
yatrayatraparis
yatvayAshi
yebrAhmaxA
yoShidvasa
yuShmatkRS
yuvatvemam
