ghAsagrAsa
ghRShTamgh
ghRtakumbh
ghRtalavam
ghRtamashr
ghRtaplute
ghUrmamtet
ghaTIyamtr
ghaTamAmad
ghaTamAmak
ghaTamamvi
ghaTambhim
ghaTitamiv
ghaTojamas
ghaTojamasthAma
ghaTopaviS
ghamTAmAdo
ghamTArava
ghamaghamA
ghamaghama
ghamairvil
ghamasamay
ghamasamayamahI
ghamasamta
ghamatarag
ghamataraghamav
ghamatarat
ghamodyame
ghamoyamch
gharmArtam
ghmamtidai
ghrAtamtAl
ghrAtvAshr
