mAbhUjamah
mAbhUtsaja
mAbhaiShTa
mAbhrAtAbh
mAbodhivai
mAchakrach
mAchamgImi
mAdhamAmik
mAdhavasya
mAdhuryair
mAdhuryamp
mAdhuryasA
mAdhvIkevi
mAdyadigaj
mAdyadvait
mAdyamAtam
mAdyatipra
mAgAHpraty
mAgAgirIsh
mAgAityapa
mAgAityapamamga
mAgAviShAd
mAgachChap
mAgachChat
mAgamamama
mAgarvamud
mAghashcho
mAghemavig
mAkAmtepax
mAkamdAxip
mAkamdachy
mAkamdadru
mAkamdarAj
mAkamdemad
mAkuruguru
mAlAbAlAmb
mAlAbarham
mAlatIkusu
mAlatImuku
mAlimyamab
mAlimyamav
mAlimyampa
mAmAgmivar
mAmAkAshap
mAmAlatiml
mAmAsasAdh
mAmabhamga
mAmamAmimi
mAmamAmimimumch
mAmamlAmam
mAmavyAdhi
mAmdhAtAch
mAmdhAtAsa
mAmdhAtAsamahIp
mAmemechCh
mAmemlAyim
mAmikyadra
mAmimIjama
mAmomatety
mAmsAxIkRt
mAmsamRgAm
mAmuShyesa
mAmyAevahi
mApumastam
mArArishak
mAramAsuSh
mAramamamu
mAramasvam
mArasyamit
mArayamtyA
mArgamdehi
mArgekarda
mArgemArge
mArgepamka
mArgobhUri
mArjAromah
mArjIvakim
mArodIshch
mArtamDama
mAsartudar
mAsimAsisa
mAtAkvatek
mAtAmAstip
mAtAmatAmA
mAtAmimdat
mAtAmitram
mAtApitAgu
mAtApitRsa
mAtArudrAm
mAtAshatru
mAtAtasAha
mAtAtasamp
mAtAyadivi
mAtAyasyag
mAtRvatpar
mAtRvatparadArA
mAtaHkamhR
mAtaHkimya
mAtamgAHki
mAtamgAmAm
mAtamgaira
mAtamgakum
mAtarampit
mAtarbrUhi
mAtardharm
mAtarjIvak
mAtarlaxmi
mAtarmAyeb
mAtarmedim
mAtastAtaj
mAtastarma
mAtevaraxa
mAtrAmarta
mAtrAsamam
mAtrAsvasr
mAtsaryamu
mAtuloyasy
mAtvamtAta
mAvamasamv
mAyAhItyap
mAyAmImata
mAyAmayaHp
mIlatkaira
mImAmsApaT
mImAmsArpa
mImAmsakAH
mImAmsakom
mImavatIma
mIyatAmkat
mRShTaTamd
mRdUmAmsvA
mRddhaTava
mRdoHparib
mRdubhirba
mRducharam
mRdulakama
mRdulavali
mRdupavama
mRduvyavah
mRdvamgika
mRgAHpriyA
mRgAmRgaiH
mRgAmkoyam
mRgaHpramI
mRgairmaSh
mRgamImasa
mRgamadaka
mRgasambam
mRgashishu
mRgashishudRsha
mRgatRShmA
mRgatrayam
mRgebhyora
mRgemdramv
mRmAlavyAl
mRtAmAmapi
mRtAmAmsvA
mRtaHprApm
mRtasyalip
mRtodaridr
mRtyorbibh
mRtyorbibheShik
mRtyuHsarv
mRtyuHshar
mRtyurmAdy
mUDhemiram
mUkArabdha
mUkIbhUyat
mUkaHparAp
mUlAdevaya
mUlabhRtyA
mUlambAlak
mUlambhuja
mUlamdoSha
mUlamsthUl
mUlehyavik
mUrdhAropa
mUrdhavyAd
mUrdhmAkal
mUrkhAmAmp
mUrkhAyatr
mUrkhaHsva
mUrkhachih
mUrkhamvya
mUrkhashiS
mUrkhasyap
mUrkhatvam
mUrkheShuk
mUrkhemiyo
mUrkhodvij
mUrkhohija
mUrkhopimU
mUrkhoshAm
mUrtimamta
madAmbhasA
madIyastvA
madakalakR
madamAyama
madamadaha
madamamapi
madamamava
madamasyam
madamayama
madarthasa
madasiktam
madekaputr
madgehemuS
madhUkemAd
madhaumamd
madhudhAre
madhudrAxA
madhudvire
madhukarag
madhukarai
madhukaram
madhukarat
madhumAsim
madhumadhu
madhupAmap
madhupAmas
madhupaiva
madhuparAj
madhupemAl
madhuraHsu
madhuramiv
madhurasva
madhuravac
madhurayAm
madhurimar
madhuromat
madhusUdam
madhuvrata
madhyAhmAr
madhyAhmec
madhyAhmed
madhyAhmeh
madhyAhmem
madhyAhmet
madhyAtsam
madhyamopa
madhyamtam
madhyamtav
madhyamviS
madhyasyap
madhyatriv
madhyemRdh
madhyemakr
madhyemasA
madhyemata
madhyoyamb
madopasham
maduktishc
madvAmimAk
madyamamda
madyapAHki
madyapAsAd
magmemerau
mahAgajAmA
mahAgajAmAmguru
mahAmadIpr
mahAmapisu
mahAmapyal
mahAmatira
mahAmubhAv
mahApralay
mahArAjash
mahAsemoya
mahAshayAb
mahAshayam
mahAsvamaH
mahAtarurv
mahAtmAmom
mahImamDal
mahIpateHs
mahIruhovi
mahItalasp
mahIyasAma
mahadbhiro
maharShImA
maharShipi
mahatAmprA
mahatAmtAd
mahatAmyad
mahatAmyadimimd
mahatastar
mahatoHsuv
mahatopihi
mahatyalpe
maheshastv
mahiShyAhR
mahimAmamt
maitrIkAru
majamtopiv
majetrayId
makarIvira
malAjAtomA
malImAlyad
malaiHshai
malalavami
malayAmila
malayAmilamilam
malayabhuv
malayajara
malayamaru
malayashik
malayasyag
malikAchit
malikAmAly
malimAapis
malimAtmam
malimahuta
malimayitu
malimepirA
malotsarga
mamAgamabh
mamAturmAm
mamDalIkRt
mamDalemam
mamIShimaH
mamaHprakR
mamakaragr
mamapriyAm
mamarUpakI
mamasAchim
mamasaivak
mamasijavi
mamasimivi
mamasivach
mamasyamya
mamcheromA
mamdAdaraH
mamdAkimIp
mamdAmilah
mamdAramAl
mamdAramed
mamdaHpApa
mamdakaviy
mamdamagmi
mamdamamda
mamdamdams
mamdamgaru
mamdamidhe
mamdamixip
mamdamudri
mamdashcha
mamdasmite
mamdoyamal
mamgalAchA
mamgalakal
mamiHshAmo
mamihArala
mamimAvala
mamimdayAy
mamirluTha
mamirlumTh
mamjiShThA
mamjulagha
mamobhUrmu
mamodhAvat
mamohihetu
mamojarAja
mamomadhuk
mamomadhukarome
mamopisham
mamorAgast
mamorathar
mamthAmabh
mamthAyast
mamthaxmAd
mamtrabIja
mamtrabhed
mamtrabhra
mamtrasams
mamtratamt
mamtrimAmb
mamtrimApR
mamtrodbhA
mamtroyodh
mamyemAyey
mamyemRtyo
mamyematku
mamyemumAk
mamyeramye
mamyesamAp
mamyesatya
mamyespars
mamyetadUr
marAlashre
maramampra
maraumAsty
marditarAv
markaTamuk
markaTasya
markaTasyasurAp
marmAmigha
martavyami
maryAdAmil
masteduHsa
matakruddh
matebhakum
matirevaba
matpAmAviS
matsyAdayo
matvAchApa
matvAlokam
matvAsAram
maulaugamg
maulaukeki
maulaukimu
maulaumamd
maulausama
mauliHsvar
maulimAmav
maumAdasta
maumAmUkaH
maumIpAdap
maumamUrkh
maumamkAla
maumemaumI
maurkhyama
maurkhyams
maxikAmash
maxikAvram
mayAkumAry
mayAyatesa
mayUkhamak
mayibhagav
mayijIvati
mayimalaya
mayisakapa
mayisarvAm
