pAShAmAHpa
pAShAmakha
pAShAmobhi
pAShamDimo
pATIkuTaka
pATIratava
pATalayAva
pAThImaHka
pAThamairg
pAThampATh
pAdAHkamdu
pAdAghAtav
pAdAhatopi
pAdAhatoth
pAdAmguShT
pAdAsaktes
pAdAstaeva
pAdamyAsam
pAdapAmAmb
pAdasamvAh
pAdasyAvir
pAdemUrdha
pAdemakram
pAkashchem
pAmArAgAbh
pAmAyAdhar
pAmDurasim
pAmDuxAmam
pAmIyamAmI
pAmIyamAri
pAmIyampAt
pAmIyamvAm
pAmadhauta
pAmamaxAst
pAmamdurja
pAmamstrIm
pAmaugRhIt
pAmaukamka
pAmaumAkur
pAmaupadma
pAmautAmra
pAmiHpAtra
pAmigrAhas
pAmigrahep
pAmigraheparvat
pAmipalava
pAmirmirav
pAmirodham
pAmthAdhAr
pAmthAmAmp
pAmthamamd
pAmtuvojal
pApamsamAc
pArImdrAmA
pArImdrash
pArijAtata
pArshvAbhy
pArshvAsph
pArshvasth
pArvatImoS
pAshaxumak
pAshchAtyA
pAshchAtya
pAsyamtika
pAtAlAdbhu
pAtAlamiva
pAtAlataHk
pAtAlemamj
pAtaHpUShm
pAtaHpUShmobhav
pAtakAmAms
pAtamjalev
pAtayatihR
pAthodajAl
pAtitopika
pAtrApAtra
pAtrApAtravivek
pAtrampavi
pAtretyAgI
pAtumAhita
pAtumaprat
pAtumshrot
pAtushrIst
pAtutrImij
pAtuvaHkap
pAtuvaHshi
pAtuvomIla
pAtuvomedi
pAtuvomika
pAyAdAyAsa
pAyAdgajem
pAyAdvaHka
pAyAdvojam
pAyAmAyAmR
pAyAtpayod
pAyAtsavaH
pAyampAyam
pIDitepura
pIThAHkach
pIThIpraxA
pIThepITha
pIlUmAmpha
pImotumgap
pImotumgas
pItaHkrudd
pItamatram
pItampamka
pItamyatra
pItamyemap
pItashIdhu
pItastuShA
pItastvamk
pItavatyab
pItodakAja
pItogastye
pItomAmbum
pItoyataHp
pItvAbhRsh
pItvAgarja
pIyUShAshr
pIyUShamva
pIyUShemak
pIyUShemas
pRShThabhr
pRShThataH
pRShThekam
pRShTobrUt
pRchChatip
pRchChatis
pRthivIdah
pRthivyAmt
pRthugagam
pRthukArta
pRthuvartu
pRthvIpRth
pRthvIpate
pRthvIsamb
pRthvIshrI
pRthvItAva
pUjAyAmkim
pUjyateyad
pUrayatipU
pUrayitvAr
pUrmaHpamk
pUrmachamd
pUrmamakhe
pUrmemduHk
pUrmeshata
pUrotpIDet
pUrvAdrist
pUrvAhmepr
pUrvAmxama
pUrvAparAv
pUrvabhAga
pUrvadateS
pUrvamcheT
pUrvamdvir
pUrvamtAva
pUrvamyatr
pUrvatabhe
pUrvatrAsi
pUtipamkam
paTAlagmep
paTalamamb
paTavighaT
paThakAHpA
paThakaHpA
paThatirah
paThatomAs
paTutvamsa
padAbhyAmu
padAmikrat
padabamdho
padadvayas
padaishcha
padakramav
padamamamt
padamyAsog
padapramat
padashabda
padavImkAl
padavyakti
padbhyAmsa
padepadech
padmAkArai
padmAkaram
padmAmamAp
padmAmkasa
padmApayod
padmAsadma
padmAtapat
padmAyAHst
padmemUDha
padmetvama
padmimikim
padmimyAHs
padmimyAda
padmodayad
pakvAmipra
pakvAmivar
palAmDupat
palAshakus
palAyitAta
palImAmadh
palavataHk
palavopami
palitAmimu
pamArdhakr
pamDitaiHs
pamDitecha
pamDitehig
pamagadhAr
pamchAsyap
pamchAsyas
pamchabhiH
pamchabhiHkAmit
pamchabhir
pamchadash
pamchaitAm
pamchameha
pamchasAya
pamchasUmA
pamchatvam
pamchatvamtamur
pamchavidy
pamgovamdy
pamguShvap
pamkAmuSha
pamkairvim
pamkajajal
pamkasamka
pampAsaras
pamthAHsam
papAtagamg
papAtamero
papAtapAth
parAbhUtas
parAbhavam
parAdhImam
parAgaiHkA
parAkramot
parAmRsham
parAmprApy
parApakAra
parArthAmu
parArthavy
parArtheya
parImdrasy
parIvAdast
parIxyasat
parabhRtas
parachChid
parachakra
paradArAma
paradAramp
paradArapa
paraduHkha
paraguhyag
paraiHsamb
paramarmad
paramarmag
paramarmaghaTam
paramomaru
parampalit
paramtadih
paramvimIt
paraparitA
parapatimi
parasUktAp
parashlokA
parasparAm
parasparat
parasparav
parasparavivAde
parasparem
parasyadam
parasyamug
parasyapID
paravAdeda
paravAkyam
pareShAmch
pareShAmkl
paribhrama
parichChed
parichChedAtIta
parichChim
paricharyA
parichumba
parichyuta
parihRtyad
pariharakR
pariharata
pariharati
pariharatiratim
pariharatiyathA
parikalpya
pariluThat
parimRdita
parimalasu
parimamtha
parimayavi
parimlAmam
parimlAmem
paripIDita
paripIDyak
paripUrmag
paripUrmep
paripatati
parishithi
parishrama
parishudAm
parisphura
parisurapa
paritapyat
paritoShay
parityajed
parivartim
parixImaHk
parjamyaiv
paropadesh
paropadeshasama
paropadeshavelA
paropakArA
paropakAra
paropakAraHkart
paropakArashUmy
paropakRti
paropasarp
paropihita
parovajAmA
paroxapriy
paroxekAry
parvatAgre
parvatAgrerathA
paryAptapu
paryachChe
paryamkIkR
paryamkaHs
paryamkagr
paryamkorA
pashchAdam
pashchAtya
pashupAlav
pashupater
pashushche
pashyAmaHk
pashyAmitA
pashyAmurU
pashyamhat
pashyamtIm
pashyamtim
pashyamtis
pashyamtya
pashyapakv
pashyapash
pashyatipa
pashyetkas
pashyodamc
pashyodeti
patamgapAk
patamtikha
patamtimAs
patamtivya
patatikadA
patatiravi
patatumabh
patatutavo
patatyavir
patatyetat
pathimipat
pathipathi
pathipathilatAl
pathyesati
patiHpadAt
patiHpatim
patiHpatimvAham
patiratIva
patirhidev
patitepata
patitopirA
pativratAy
patmIdvaya
patrAdhika
patrAmikam
patrachChA
patramaiva
patraphala
patrapuShp
patyuHprav
patyuHshay
patyuryatp
paulastyaH
paulastyap
paulomIkuc
paulomIpat
paurAmikAm
pauramsutI
paurastyai
paurebhyom
paurohitya
pavamApamI
pavamaHpav
pavitramat
paxAvutxip
paxadvamdv
paxavikala
paxishreSh
paxmAgragr
paxmAlIpim
payaHpITha
payasisali
payodahevA
payodakesh
payodharAk
payodharag
payodharas
payodheHsa
peTIchIvar
peshalamap
peyAsurApr
pibamtimad
pibamtumad
pibapayaHp
pibastamya
pibatastes
pibativyom
pidadhAmam
pidadhatit
pikAlIvAch
pimAkapham
pimAkaphamibAle
pimDepimDe
pimaShTIva
pipAsAxAma
pipAsuriva
pipIlikArj
pipipriyas
pishumaHkh
pishumatva
pitAchaRma
pitAraxati
pitAvAyadi
pitRbhiHtA
pitroHpAdA
pitrormity
pituradhip
piturguror
potodustar
prAbhrabhr
prAchIbhAg
prAchIdiga
prAchIkumk
prAchImAch
prAchImAla
prAchImahI
prAchImvAs
prAchIvibh
prAchetasa
prAduShyAt
prAdurbhUt
prAdurbhUtemava
prAdurbhav
prAgalbhya
prAgalbhyahImas
prAgalbhyampuru
prAgetadva
prAjmAmAme
prAjmemiyo
prAjmohija
prAkAragop
prAkpAdayo
prAleyamis
prAleyasha
prAmAghAtA
prAmAmAmam
prAmAmAmba
prAmAmAmch
prAmAmetit
prAmAmikIv
prAmAmyabu
prAmAmyamA
prAmAmyamp
prAmAmyamparato
prAmAmyams
prAmAtipAt
prAmAyAmop
prAmAyathA
prAmairapy
prAmeshama
prAmeshata
prAmeshavi
prAmeshema
prAmeshvar
prAmeshvarekima
prAmjalAva
prApitemac
prAptAHshr
prAptAjarA
prAptAmapi
prAptArtha
prAptAstrA
prAptaHprA
prAptadoma
prAptamayA
prAptevasa
prApyAvamt
prApyachal
prApyamAbh
prApyamama
prApyapram
prApyategu
prApyatesm
prApyavita
prArabdher
prArabdhev
prArabhyat
prArabhyav
prArambhat
prArambhek
prAsAdIyat
prAsAdesAd
prAsaprota
prAtaHdyUt
prAtaHprAt
prAtaHprAtarupA
prAtaHsIma
prAtarmIla
prAtarmUtr
prAthamikI
prAtibhamt
prAvAraira
prAvRShemy
prAvRShish
prAyaHkAry
prAyaHkAvy
prAyaHkhal
prAyaHkuka
prAyaHparo
prAyaHprak
prAyaHprakAshat
prAyaHprap
prAyaHsamp
prAyaHsamt
prAyaHsara
prAyaHsvab
prAyaHsvabhAvam
prAyashcha
prAyashchi
prAyemAlok
prAyemAtra
prAyemadha
prAyemamIc
prAyemasam
prAyemasuk
prAyodhama
prAyoduram
prItimapra
prItimdadA
prItimvast
prItirlaxm
prabhAtepR
prabhAvArt
prabhUtama
prabhUtava
prabhavaHk
prabhavaHkhaluk
prabhavati
prabhraShT
prabhrashy
prabhupras
prabhuprasAdevi
prabhurviv
prabuddhAy
prachamDab
prachamDac
prachamDav
pradAmampr
pradIpajvA
pradIpakim
pradIyatev
pradhamAdh
pradoShamA
pradoShedI
pradoShemi
pragalbhAm
praharakam
praharatim
praharavir
prahariShy
prahlAdash
prajAmAmdh
prajAmAmev
prajAmAmpA
prajAmAmvi
prajAmaram
prajAmsamr
prajApIDam
prajmAgupt
prajmAtRtI
prajmAvive
prakAmamab
prakAshaya
prakAshesa
prakIrmake
prakRtiHsv
prakRtikha
prakRtipra
prakaTAmya
prakaTamRd
prakaTamal
prakaTamap
prakhalAev
prakoShTha
prakrIyasm
prakurvatA
pralayasah
pramAdimAm
pramAlIdIr
pramadAmad
pramamyapA
pramatibhi
pramavodha
pramayakop
pramayakup
pramayakupitAmd
pramlAmAma
pramodamja
pramodekhe
prapAyAmpI
prasAdamAd
prasAdesar
prasAdevar
prasAdhikA
prasAdomiS
prasAramap
prasAritak
prasAryapA
prasIdetib
prasUmabAm
prasUmakal
prasUmashR
prasahyama
prasamgAdg
prasaradal
prasaratim
prasaterya
prashAmtag
prashAmtem
prashamsam
prashastyA
praspamdam
prasphurat
prastAvasa
prastAvasadRsha
prastAvehe
prasthAmam
prasthAmet
prasthAsya
prasvedama
pratApabhI
pratIpabhU
pratIxyamt
pratIyamAm
prathamadi
prathamama
prathamamamyabh
prathamamk
prathamamy
prathamava
prathamavayasid
prathamemA
prathitosi
pratibimbi
pratibimbitapri
pratidisha
pratigRhak
pratigatam
pratigraha
pratikAmim
pratimagar
pratimisha
pratipaxem
pratipaxoy
pratirajam
prativAdim
pratixamas
pratixamem
pratyAdiSh
pratyAkhyA
pratyAsama
pratyAsamasurem
pratyAsamatuShA
pratyAsame
pratyAsamu
pratyAvAsa
pratyAvRta
pratyAvRty
pratyUhaHp
pratyUhaHs
pratyagrai
pratyagraj
pratyagrom
pratyahamp
pratyamgam
pratyamgamasyAm
pratyamkam
pratyarthi
pratyaxamc
pratyaxara
pratyaxegu
pratyekamd
pratyupaku
prauDhachC
prauDhamau
prauDhimdh
pravAtamIl
pravImovAk
pravRtamka
pravartamA
pravasataH
pravishajh
praxAlamAd
prayAmetav
prayAtesta
prayAtumas
prayachCha
prayachChatocha
prayatmaAk
prayatmair
prayatmesa
prayogavyu
prayojamam
preShakaHp
preShitasy
premAmRtem
premArdrAH
premaivamA
premasatya
premkhadvA
premkhamap
premomAmit
prerayatip
preritaHsh
prexamIyak
preyaHshre
priyAdarsh
priyAduhit
priyAmukhI
priyAmyAyA
priyAsakhI
priyAvirah
priyAyAHpr
priyaiHsal
priyakRtap
priyamamDa
priyaprAyA
priyasakhI
priyasakhi
priyasyasu
priyatamem
priyavAkya
priyavasat
priyavirah
priyemasam
priyemasik
priyeprayA
priyesadAp
priyomayai
proShitava
prodyatpra
projvalajv
proktamayA
promChatid
puShpAmipr
puShpairap
puShpampra
puShpeShor
puShpeShum
puchChamch
pumAmsamAk
pumDrexuda
pumaHprabh
pumarapimi
pumaruktAv
pumarvitam
pumjAyamAm
pumjIbhUta
pumsAmdars
pumsAmsarv
pumsAmumat
pumsaHkAlA
pumsaHsamb
pumskokila
pumyAgmaup
pumyairmUl
purAbhUdas
purAkavImA
purAmAmtes
purAmabAma
purAmamity
purAmarash
purAritamu
purAsarasi
purAsharax
purAtamapa
purIShasya
puraHpUrvA
puraHsthit
puramdaras
purastAdga
purastamvy
purataHpre
purodhasAm
purodigamu
purogIrvAm
purojamAmA
puromumaHp
purorevApA
puruShArth
puruShaHkI
puruhUtadi
pustakamva
pustakapra
pustakasth
pustakasthAtuyA
pustakeShu
pustakeShuchayA
putrAmsmar
putraHsyAd
putradArAd
putraityev
putramitra
putrapautr
putrapautravadh
putraprayo
putrasUHpA
putrimyaHk
