khATIchChA
khAdamagac
khAdamemac
khaDgAHsho
khaDgAlaxm
khaDgArudh
khaDgAstiS
khaDgahast
khaDgamUla
khaDgamirl
khaDgavAri
khaDgemAmU
khaDgemash
khaTvAmitA
khachitram
khadyotAst
khadyotody
khalAlApAH
khalAmAmdh
khalAmAmka
khalAstuku
khalaHkaro
khalaHsaja
khalaHsarS
khalaHsatr
khalaHsuja
khalasakhy
khaleShusa
khalemadha
khalolApAH
khalomasAd
khalupuShp
khalvATodi
khamDitAme
khamamAkhu
kharamakha
kharamshvA
kharvagram
kharveyamp
khedAsteka
khelatkham
khidyatikU
khimAlasam
khimchApis
khimosimum
khyAtAmarA
khyAtAvaya
khyAtaHsha
khyAtastva
khyAtimgam
khyAtimyat
