hAdhiksAki
hAhAdevisp
hAhamtamAm
hAlAhalamk
hAlAhaloma
hAmAtastva
hArAmAhara
hArAvasheS
hArItAHsar
hAraHkuram
hAraHprala
hArahIraka
hAramgumph
hAramvaxas
hArastruTy
hArasyAtid
hArobhAtik
hArojalArd
hAromAropi
hAromAropitaHka
hAroyamhar
hAsastUtka
hAtAtatAte
hAvahAriha
hImAmgAmat
hImahatyAd
hImajAtyud
hImasevAma
hIyatehima
hIyatehisa
hRdayAmisa
hRdayamAsh
hRdayamhar
hRdayamiSh
hRdayamkau
hRdayatRma
hRdayekuru
hRdibisala
hRdilagmem
hRdilajoda
hRdirUpamk
hRtomgarAg
hRtvApadma
hUmIsImamt
haThAdAkRS
hamUmatiha
hamayamahu
hamhodagdh
hamhodhIra
hamhomImat
hamhovArim
hamsAHpadm
hamsAyamAm
hamsIvetip
hamsaHpray
hamsaHshve
hamsaiHsha
hamsairlab
hamsapraya
hamsashcha
hamsomabhA
hamsovibhA
hamsoyathA
hamtAlisam
hamtabrahm
hamtakAmta
hamtatekat
hamtumeSho
hamturbamd
harShAdamb
harShakrod
harShamvar
haraHxayIt
harakamTha
harakrodha
haramtihRd
haramukuTe
haravamavi
haravijaya
hareHpadAh
harerlIlAv
hariShyamA
haribhAmim
haridrAyAm
hariharayo
harimachar
harimaprex
hariralasa
harirharat
harirvahat
harturmago
harturyAti
hasadbhiry
hasamtImvA
hasamtampr
hasatilasa
hastAdapim
hastAmbhoj
hastAmbhojevada
hastIchAmk
hastIhasta
hastIsthUl
hastIsthUlatara
hastIvamya
hastaivabh
hastamkamp
hastamyast
hastapamka
hastasveda
hastasyabh
hastechakA
hastemAgre
hasteshast
hatamashro
hatamjmAma
hatebhimam
hatvAlocha
hatvApatim
heShAghoSh
heShamteya
hedAridrya
hedAvAmala
hegamgAdha
hegodAvari
heharyaxas
hehelAjita
hehemakAra
hehemaketa
hehemamtas
hehemitraj
heherambak
hekIrakair
hekUpatvam
hekokilAkh
helAprasth
helAsyAtkA
helAvidali
helaxmixam
hemAmbhoru
hemAtamgam
hemaHkArya
hemaHkhedo
hemakumbha
hemalihemA
hemamamjIr
hemamtahim
hemamtebah
hemamtedad
hemamtehim
hemamtepat
hepAmthapr
hepAthohay
hepaximAga
herAjAmast
heramgahem
hetaulimge
hetavejaga
hetoHkutop
hetuHkopiv
hetupramAm
hetupramAmayukt
heturmaisa
heyamharmy
heyopAdeya
himAmIstha
himAmshuka
himAmshush
himaRtAvap
himadhaval
himakarapa
himalavasa
himasamayo
himashishi
himavyapAy
hiramyadhA
hiramyambh
hitopadesh
hitvAdaity
hitvAmadam
hitvAtvAmu
hlAdamatAp
hrIbharAda
hrItayAgal
hrIvimoham
hradAmbhas
hrasvAshch
hrepayatip
humkAraird
hutahutAsh
hutamiShTa
