dAmArthimo
dAmAyalaxm
dAmamadata
dAmambhoga
dAmambhogo
dAmamdadat
dAmamdarid
dAmampriya
dAmamsatvA
dAmamvitAd
dAmamyajmA
dAmapAtram
dAmatIrtha
dAmavArima
dAmekalpat
dAmemabhUt
dAmemabhog
dAmemapAmi
dAmemashlA
dAmematuly
dAmetapasi
dAmodarAya
dAmodaraka
dAmopabhog
dAmopabhogarahi
dArAHparib
dArapIDAma
dAreShukim
dAridryAdh
dAridryAma
dAridryAmalasam
dAridryAtp
dAridryabh
dAridryadA
dAridryash
dAridryashIlopi
dAridryasy
dAridryaxi
dAridryema
dAridryopa
dAsekRtAga
dAserakasy
dAserakora
dAsyehampa
dAtAdAmasy
dAtAmIchop
dAtAmadApa
dAtArorthi
dAtAxamIgu
dAtRtvamdh
dAtRtvampr
dAtavyambh
dAtavyamit
dAtuHparop
dAtumparop
dAturumata
dAtyUhAHsa
dAximyamAm
dAximyamal
dAximyamsv
dAyAdAHspR
dAyAdatvam
dImAmAmiha
dImAmkalpa
dImomatach
dIpAHsthit
dIpadashAk
dIpahartAb
dIpamirvAm
dIpayamath
dIpayamrod
dIpitasmar
dIpobhaxay
dIpovAtabh
dIptaxudve
dIpyamtAmy
dIrghAvamd
dIrghAxams
dIrghIkurv
dIrghashRm
dIrmopiche
dIvyamauli
dRDhaHprem
dRDhatarag
dRDhataram
dRShTAHsam
dRShTAcham
dRShTAdRSh
dRShTAmtom
dRShTaHkAt
dRShTaHkvA
dRShTaHsAx
dRShTaHsap
dRShTaduHk
dRShTadurj
dRShTamdur
dRShTasyay
dRShTavAya
dRShTecham
dRShTeloch
dRShTerava
dRShTiHkAp
dRShTiHsAl
dRShTiHsha
dRShTimdeh
dRShTimhep
dRShTipUta
dRShTirAva
dRShTistRm
dRShTovAsu
dRShToyams
dRShTvADam
dRShTvAdar
dRShTvAkau
dRShTvAmam
dRShTvApid
dRShTvAshA
dRShTvAsph
dRShTvAved
dRShTvaikA
dRShTvaivA
dRShTvaiva
dRShTyAkes
dRgamtavyA
dRgbhamgab
dRgbhyAmya
dRkpAtaHka
dRpyadaity
dRshAdagdh
dRshAkimch
dRshAsapad
dRshAvidad
dRshaHpRth
dRshaukima
dRshautava
dRshoHsImA
dRshyamdRs
dRshyamteb
dRshyamtem
dRshyatepA
dRshyateya
dUrAdartha
dUrAdevakR
dUrAduChri
dUrAdujjha
dUrAdutsuk
dUralagmap
dUramastud
dUramsumda
dUramudasy
dUramuktAl
dUramyAmtu
dUrasthAHp
dUrasthamj
dUrasthopi
dUrasthopimadUr
dUrasthopisamIp
dUrataHsho
dUratayAst
dUremArgAm
dUremalayo
dUrepipara
dUrepishru
dUrjamaHpa
dUrotxipta
dUtIdamaya
dUtIvidyud
