aihalaukik
aihalaukikamIha
aihikAmuSh
aikagumyam
aikamatyam
aimamcharm
aimdavAdar
aimdavIvah
aimdramdha
aimdriHkil
aimdryAmdi
airAvamAma
airAvamamt
airAvamesu
aishAmyAmp
aishAmyAms
aishvaryAd
aishvaryAt
aishvaryad
aishvaryam
aishvaryamIrShy
aishvaryamadama
aishvaryamadamatAmAm_1
aishvaryamadapA
aishvaryamadhru
aishvaryamalpam
aishvaryamataHp
aishvaryamavyAh
aishvaryas
aishvaryasyavib
aishvaryat
aishvaryav
aishvaryep
aishvaryev
