UDhAkhaDga
UDhAmumAti
UDhApidyut
UDhAyemama
USharamkar
UShareShuc
UShareShuv
USharesari
UShmAhivit
UShmAyasyA
UShmavyape
UchivAmuch
UdhashChim
UmaShoDash
UmedadyAdg
UmemApihit
UrIkartumt
UrUrambhAd
UrUrambheb
Uraushiras
UrdhvAmamA
UrdhvArdhe
UrdhvArohe
UrdhvAxaHp
UrdhvIkRtA
UrdhvIkRta
UrdhvabAhu
Urdhvagamk
UrdhvamIra
UrdhvamaxI
Urdhvamgac
UrdhvamgachCham
UrdhvamprA
Urdhvamshv
UrdhvamvrI
UrdhvamyAt
Urdhvashak
Urdhvavedh
Urjitamsaj
UrmAmaiSha
UrmAmaivad
UruHkuramg
Urudvamdva
UrudvayamR
Urudvayamk
UrumUlacha
UrumUlagat
UruprakAmD
