auShadhAmA
auShadhAmi
auShadhAmy
auShadhArt
auShadhAyA
auShadhamU
auShasAtap
auShmAyamA
auShmyamta
auchityame
auchityams
auchityapr
audAryambh
audAryamdA
audAryamsa
audAsImyam
audumbarAm
aujjhipriy
aumatyambh
aurasAmapi
aurasImbha
aurasamait
aurasamkRt
aurvAivAti
autsukyAtp
autsukyaga
autsukyahe
autsukyamA
autsukyema
