rAHpumyamc
rAShTrasya
rAdhAmadhu
rAdhAmoham
rAdhAmugdh
rAdhApumAt
rAdhadhara
rAgAdirogA
rAgIbhimat
rAgadveSha
rAgakAmtam
rAgedveShe
rAghavasya
rAgimimali
rAgimyapiv
rAhustarja
rAjAbamdhu
rAjAghRmIb
rAjAmAmach
rAjAmIkapr
rAjAmaHsha
rAjAmameva
rAjAmampra
rAjAmataHs
rAjAmoyamp
rAjApashya
rAjArAShTr
rAjArAjArc
rAjAsampat
rAjAshraya
rAjAstemem
rAjAsyajag
rAjAtuShTo
rAjAveshyA
rAjIvajIva
rAjIvamiva
rAjIvimIvi
rAjachamdr
rAjalATaph
rAjamabhyu
rAjamavagh
rAjamdauvA
rAjamdudhu
rAjamdviSh
rAjamividu
rAjamkamak
rAjamkamakavarS
rAjamkamal
rAjamrAjas
rAjamsaptA
rAjamstvad
rAjamstvat
rAjamumjak
rAjamvIrav
rAjamvibhA
rAjapatmIg
rAjasevAma
rAjataHsal
rAjaterAja
rAjatitriv
rAjaudvijA
rAjetixama
rAjmAmAjmA
rAjmAmasya
rAjmaHsamb
rAjmastuda
rAjmidharm
rAjmimAtar
rAjmomAmad
rAjyalobhA
rAjyamshat
rAjyamyema
rAjyaprAjy
rAjyesAram
rAkAsudhAk
rAkAsudhAkaraka
rAkAvibhAv
rAkAyAmaka
rAmAbhiShe
rAmAdyAcha
rAmAmAmram
rAmArchitA
rAmAvilola
rAmamsItAm
rAmamvAmar
rAmarAmeti
rAmatvatkI
rAmematriH
rAmomAmaba
rAmomAmababhUva
rAmomAsaum
rAmorAjama
rAmovirAmo
rAmoyamasm
rAsolAsabh
rAtraujAmu
rAtraurave
rAtrausupt
rAtrauvAri
rAtriHkAla
rAtriHsaiv
rAtrirAgam
rAtrirgami
rAtrirgatA
rAtrirmedi
rAvamasyap
rAxasebhya
rUDhasyasi
rUpamaprat
rUpamjarAs
rUpasampam
rUpasaurab
rUpayauvam
rUpemAprat
rUxAyAmsme
rUxamvapur
rUxamvirau
rUxasyAmad
raTatujala
rabhasAdab
rabhasemah
rachayatis
rachayatiy
raghutilak
raghuvamsh
rahasyabhe
rahasyamch
rajamIShuv
rajamImavA
rajamichar
rajamyAmam
rajojuShej
rajyamakha
raktAbjapu
raktAshoka
raktabhAva
raktamAmsa
raktamakta
raktastvam
raktemaiva
raktobhijA
raktotphul
ramDAHpASh
ramDApImap
ramamIyaHs
ramamechar
ramatkamka
rambhApiki
rambhAtarU
ramebAmaga
ramjitAmak
ramjitAmuv
ramkAvamka
ramkasyamR
ramkasyamRpater
ramyAmivIx
ramyAmprat
ramyArthok
ramyAshcha
ramyamdveS
ramyamharm
ramyamharmyatal
ramyamjugu
rasAlAmAma
rasAlashik
rasAsArara
rasaHkopya
rasajmaras
rasatitaru
rasesArash
ratAmteprA
ratachUtap
ratakhimat
rathasthit
rathasyaik
rathebhyog
rathimorat
rathorathA
rathyAghoS
rathyAmtas
rathyArajo
rathyAyAms
ratikRtiga
ratikelika
ratikrIDAd
ratipatipr
ratirabhas
ratirabhasavilA
ratmAkaraH
ratmAkaras
ratmAkarat
ratmAkarep
ratmAkaroj
ratmAmAmki
ratmAmivib
ratmAmyamb
ratmAvalIp
ratmabhiti
ratmairApU
ratmairmah
ratmasAmus
ratmasthal
ratmodArac
ratyAptapr
raveHkaveH
raverastam
raverevoda
ravermayUk
raviHkaras
ravijAshas
ravimAvasa
ravimamira
ravirapima
ravishcham
ravisutakR
ravitaptog
ravituramg
raxAdhikAr
raxAmAlika
raxamtikRp
raxamtipax
raxapAtrag
rebAlakoki
rechAmchal
redhArAdha
redhRShTAd
rejepuShpa
rejurbhraS
rekUpajIva
rekhAkAcha
rekhAmAtra
rekhalatav
relAmgalik
repAmthAHs
repadmAkar
repadmimId
repadmimIp
rephavyamj
reputrasat
rerAjahams
rerechAtak
reregharaT
reregrAmak
rerekhalAH
rerekokilA
rerelokAHk
reremirday
rerepAmtha
rererAsabh
rererasAla
rereshiShT
rerexatrak
resAramgAv
retaHshomi
retoraktam
riktAHkarm
rikteShuvA
rimgatumga
ripurivasa
ripushriya
roShAveshA
roShAveshAdAbhi
roditivarS
rodoramdhr
rogIchirap
rogashokap
rogasyopak
rogomDajom
rohadvalIg
rohamAchal
rohamamsUk
rohamtaupr
rohatesAya
rolambAHpa
rolambairm
rolambasya
rolambomad
romAvalIda
romAvalImu
romAvalIra
romAvalIvi
romAvalibh
romamthamA
ruShTekApa
ruShTopirA
ruchibhira
ruchidhAmi
ruchirasva
ruchiratir
ruddhamirg
rudhiravis
rudrAmAmsh
rudrasyApi
rudrodrimj
rudrovRxau
rumdhatIma
