aShTAbhiHk
aShTAdashA
aShTAdasha
aShTAdashapurAm
aShTAgavam
aShTAmAmlo
aShTAmgayo
aShTAmgula
aShTAvamgA
aShTAvimAm
aShTadhAde
aShTakulAc
aShTamIham
aShTamambr
aShTamedvA
aShTapAdas
aShTaugumA
aShTauhATa
aShTaumAsA
aShTaumRpe
aShTaupUrv
aShTautAmy
aShTauvyAk
aShTauyadA
aShTauyasy
aShTotaras
aTamemamah
aTashUlAja
aTashUlAjamapad
aTatAdhAtr
aTatkaTaka
aTavAvikaT
aTavIkIdRs
aTavyAdrum
abAlaruchi
abaddhovAs
abalADhyav
abalAapivI
abalAbuddh
abalAmbali
abalAsuvil
abalAvamap
abalAviSha
abalAyatra
abalaHprom
abalasvaku
abalesalil
abaletipar
abalosimaj
abamdhuShv
abdAyamart
abdairvAri
abdebhakum
abdhIratma
abdhaumaja
abdherambh
abdhimAsah
abdhirmatR
abdhiryady
abhAvemama
abhAvepaTa
abhAvisimd
abhIShTamA
abhIShTaph
abhIpsAmsv
abhIxmamuS
abhIxmamuc
abhUdambho
abhUtamAsa
abhUtapUrv
abhUtprAch
abhUvamadb
abhagmavRt
abhavadabh
abhavyajIv
abhaxyambh
abhayamabh
abhayamsar
abhayamsarvabhU
abhayamsarvabhUtebhy_1
abhayamsat
abhayasyah
abhayasyai
abhedemaiv
abhedemopA
abhedyomud
abhiShekAr
abhiShiShe
abhibhUtop
abhibhUtopyavaj
abhibhUyas
abhibhUyav
abhibhavat
abhidhAvat
abhidhAyat
abhidhyAlu
abhidrohem
abhigamyAs
abhihamtih
abhihitApy
abhijAtaja
abhijamava
abhilaSham
abhilaShas
abhilaShat
abhilaShatimakh
abhilaShatipadm
abhilaShatoramu
abhilaShit
abhilaxyam
abhimAmadh
abhimAmadhamasy
abhimAmava
abhimAmavatAmbr
abhimAmavatomam
abhimAmima
abhimAmita
abhimaShat
abhimamtry
abhimatama
abhimatamahAmAm
abhimataph
abhimataphalasi
abhimatasi
abhimatava
abhimavaja
abhimavaku
abhimavama
abhimavamalimIv
abhimavamavamIt
abhimavamavamItasmig_1
abhimavamg
abhimavamu
abhimavapa
abhimavapu
abhimavase
abhimavava
abhimavavi
abhimavaya
abhimavela
abhimayAmp
abhimayash
abhimeShva
abhimukhAg
abhimukhag
abhimukham
abhimukhamihata
abhimukhamihatasyasa_1
abhimukhamupayA
abhimukhap
abhimukhapatita
abhimukhem
abhimumisa
abhipatati
abhiprAyAm
abhiprAyam
abhipretAr
abhirAmebh
abhisAresa
abhisarama
abhisaramamayuk
abhisaramarasaH
abhishapta
abhishasta
abhitApasa
abhitAvutt
abhitigmar
abhitomita
abhivAdama
abhivAdamashIla
abhivAdaye
abhivAdayedvRdd
abhivAdyay
abhivIxyas
abhivarSha
abhiyAtima
abhiyoktAb
abhiyuktam
abhiyuktob
abhiyuktoy
abhogasubh
abhogimaum
abhrUvilAs
abhrachChA
abhrachChAyAkha
abhrachChAyAkhalaprI_1
abhrachChAyAtRm
abhrachChAyAtRmAdagm_1
abhradhvAm
abhrapuShp
abhravRmda
abhuktAyAm
abhuktvAma
abhumjatAm
abhyAsAddh
abhyAsAddhAryat
abhyAsAmus
abhyAsAtus
abhyAsaHka
abhyAsakAr
abhyAsapar
abhyAsarah
abhyAsashC
abhyAsasth
abhyAsemAm
abhyAsemas
abhyAsohik
abhyAsorat
abhyAvahat
abhyAyAmta
abhyaghAmi
abhyaktami
abhyaktamr
abhyamtara
abhyarthay
abhyarthya
abhyastAHs
abhyastepi
abhyastepihimAm
abhyasyAda
abhyasyapa
abhyasyasm
abhyasyave
abhyetyayA
abhyuShmAt
abhyuddhRt
abhyudyatk
abhyulasam
abhyumatAm
abhyumatAmAmamu
abhyumatAp
abhyumatas
abhyumatep
abhyumatev
abhyumatos
abhyupayuk
abhyupayuktAHsa
abhyutthAm
abhyuxitos
abjamtvaja
abodhimohr
abravIchab
abuddhimAs
abudhAajam
abudhaiHkR
abudhairar
abudhvAchi
achChAchCh
achChAsuha
achChalami
achChaprak
achChedyoy
achChidram
achChimAmR
achChimekh
achChimmay
achChimmayamAmb
achakamata
achalAkama
achalAkamalAhik
achalamcha
achalastiS
achamchala
achaturvad
acheShTamA
achetamAap
achimtamIy
achimtitAm
achimtyAHp
achimtyama
achirAdhiS
achirAdupa
achirAtpar
achiremapa
achiremaro
achodyamAm
achumbiyAc
achyutAmam
achyutabha
achyutacha
adAhiyaste
adAmamISha
adAmtasyAv
adAtApuruS
adAtApuruShasdh
adAtApuruShasty
adAtAramdA
adAtAvamsh
adAtRmAmas
adAturmAma
adAximyAda
adIptegmau
adIrghadar
adIrghamkA
adIrghasUt
adRShTApat
adRShTagum
adRShTamar
