lATImetrap
lAbhaprama
lAbhasteSh
lAbhavighm
lAlAmvaktr
lAlamebaha
lAlayamtam
lAlayetpam
lAmgUlachA
lAmgUlachAlamam
lAmgUlemAb
lAtAkumjeg
lAvamyAmRt
lAvamyAmRtamAhi
lAvamyAmRtamirj
lAvamyAmRtavarS
lAvamyadra
lAvamyakAm
lAvamyamad
lAvamyamkv
lAvamyamta
lAvamyauka
lAxAlaxmal
lIDhagrast
lIlAdolAti
lIlAdyUtaj
lIlAlumThi
lIlAmukuli
lIlAsmitem
lIlAtAmara
lIlAvalIbh
lIlayaivas
lImAmasUms
lImeshrotr
lImevaprat
lUmagrIvAt
lUmamatama
labdhArdha
labdhAspad
labdhAstya
labdhasaur
labdhoChrA
labdhodaya
labdhodayo
labdhvAyad
labhedyada
labhetasik
laghumitRm
laghurayam
lagmAmAmsh
lagmaHkeli
lagmadvire
lagmamkavi
lagmampAda
lagmamrAgA
lajAgumaug
lajAjayati
lajAkIrtir
lajAmaheva
lajAmvihAy
lajAprauDh
lajAvashAv
lajAvataHk
lajaivodgh
lajetvamaj
lalATatila
lalATekast
lalATodaya
lalitAmtAm
lalitagama
lalitamura
lalitavibh
lambhitAHk
lambodarat
lamkAbhUpa
lamkAdhAma
lamkApateH
lasamaukti
latAkumjam
latAmAmetA
latAmUlelI
latApuShpa
latAstAstA
laukikAmAm
lavamgalat
laxmIHsvay
laxmIdha.R
laxmIkAmta
laxmIkapol
laxmIkelig
laxmIkrIDA
laxmImivAs
laxmImtamo
laxmIpAmid
laxmIpayod
laxmIrasya
laxmIrvasa
laxmIryAdo
laxmIryAsy
laxmIsampa
laxmIshcha
laxmIshche
laxmIstehR
laxmIstesa
laxmIvamkR
laxmIvamto
laxmametyu
laxmamolag
laxmixamas
laxmyApari
laxmyAshrI
lekhamIpus
lekhamtIvy
lekhayAvim
likhamAste
likhamtuka
likhamtyAH
likhatimag
limpatIvat
loDitamakh
lobhAtkrod
lobhAtkrodhaHpr
lobhAviShT
lobhaHprat
lobhaHsadA
lobhamUlAm
lobhamUlAmipApA
lobhashche
lobhemabud
lochamAdha
lochamaphu
lochamehar
lohitAyati
lokAjamAmA
lokAmAmAma
lokAmAmapi
lokAmAmtuv
lokAmamdam
lokAmugrah
lokaHshubh
lokaeShaga
lokaeShapa
lokatrayas
lokayAtrAb
lokeShumir
lokebhrAma
lokekalamk
lokeshaHka
lokotaramc
lolAmshuka
lolacholac
loladRShTi
lolairloch
lolebrUhik
lubdhAmAmy
lubdhaHsta
lubdhamart
lubdhasyam
lubdhomavi
lulitamaya
