Ajamabrahm
Akarmapali
Chimepisha
adyArabhya
amtraiHsva
aprAkRtasy
astrajvAlA
astraughap
bhUmAtramk
bhUremudig
bhartuHpim
chApAchAry
chatvArova
dRShTistRm
dhRtadhamu
hAtAtatAte
hatebhimam
jIvamevamR
jamemdoram
kRShTAkesh
kapolejAmakyAHk
kashchidvi
khaDgAstiS
kopyeShakh
laxmamolag
lohitAyati
lokaHshubh
mAbhaiShTa
mahAsemoya
makAlasyam
miShpIteka
motAvatkal
pUrmeshata
prAyemasuk
purojamAmA
rathebhyog
ravimamira
salIlayAtA
samUrchChi
samaraviha
samtuShTet
saptaShaSh
shastrAsha
shastrIkRt
strIShupra
tAtatvamij
texatriyAH
tvayardhAs
vIrosaukim
vayasyAHkr
xudrAHsamtrAsam
