AHpAtrIsyA
AdauhAlAha
AkarmitAmi
Alibalisha
Amamdamama
ApumkhAgra
AsImaHshay
AsamArgama
AstAmdUrat
AyAtAmadhu
UrUrambhAd
abhilaShas
adRShTapUrvamas
adhRtapari
adyApimUma
adyApisAmamasis
adyApitAmkamakachamp_1
adyApitatpracha
adyApitiSh
ahamihasth
ajamiprati
alasavalitamugd
alasavilasitAmA
amalastamb
ambhovAham
amishamapi
amtargatAm
amumamAram
apUrvodRsh
apasaratim
apividhiHk
aratiriyam
aravimdami
asulabhAsa
bAmAHpamch
bAmAgmimas
bAmAmsamha
bakulamAli
batasakhik
bhasmIbhUt
bhavametra
bhomeghaga
bhorohimit
bhrAtardvi
bhrUchApav
bhramayaja
bhuvamamoh
bibhemisak
chalApAmgA
chamDIshac
chaxuHprIt
chulukayas
dAximyamal
dRgamtavyA
dUramastud
dahamajAma
daivAdaham
dalatihRda
darshamapa
datvAkaTAx
dhamyAsAgR
dhamyastva
divyachaxu
durvArAHsm
eShyamtyav
etAmimiHsa
garaladrum
grasatikop
gumjamtipr
hAdhiksAki
hAhAdevisp
hAromAropi
hRdayamAsh
hRdayamiSh
hRdibisala
hRtvApadma
hamsapraya
hamtAlisam
idAmImtIvr
idamashish
jAmekopapa
jAmesvapma
jaTAmeyamv
jagatijayi
jvalatugag
jyotsmImsh
kAmtAmukha
kaTAxemApI
kadAkAmtAg
kalayatima
katimasamt
kimesadgur
kimrevidho
kimtiShThA
kramasaral
kumdamdamt
kusumashay
kutaHprema
kvAkAryams
kvarujAhRd
lIlAsmitem
lImevaprat
lajaivodgh
mIlemdIvar
mRdupavama
mUmamayame
mabhasijal
madUtIsamc
madakalakR
malayamaru
mamaHprakR
mamdAdaraH
mamdasmite
mameduHkha
mamorAgast
mapumsakam
mavaxojAsh
mayamemami
mayisakapa
meghairvyo
metrekhamjamaga
miShkAsaya
midrArdham
midrelocha
mugdhasyat
mukhamtasy
pAdAmguShT
pAmaumAkur
pItoyataHp
pamchasAya
pamchatvam
pamchatvamtamur
parAgaiHkA
parichyuta
pashyAmitA
pikAlIvAch
prAsAdesAd
pramatibhi
prasaradal
premArdrAH
priyasakhi
priyavirah
pumarapimi
purastAdga
rAjalATaph
rAkAsudhAk
rAtrirmedi
raktAshoka
raktastvam
reremirday
resAramgAv
ripurivasa
rolambAHpa
rolambomad
sAbAlAvaya
sAmeyadyap
sAsamchAra
sAsaumdary
sAvidyAdha
sUchImukhe
sUtirdugdh
sahatayAsm
sakhihepas
samgamavir
samtApayac
samutIrmet
satipradIp
saumitrema
savyAjamti
shItAmshur
shamvattva
shashIramx
shishirasI
shrutvAmAm
shrutvAtam
shvAsAevam
skhaladams
smAtAtiShT
smaramRsha
smehamsvIk
smeramvidh
sparshaHst
svapmedRSh
svayamaprA
tAmhemacha
tAmimdusum
tAmisparsh
tArApateku
tadAmugdha
tadamgamap
tadvichChe
tadviyogas
tamvIsAyad
taptemahAv
tasmimpamc
tasyAHkimu
tasyAmsuta
tavakusuma
tayAgADham
tvamuchita
umIlamayam
umIlamukul
vAramvAram
vAryamtAmd
vAtAvAmtuk
vRthaivasa
vadamamida
varamasaud
vidhiramam
vilIyemduH
vipatsimdh
viramatagh
viramatavi
vishAlAxyA
vismAritAm
vrIDAyogAm
vyAdhUyaya
yAHpashyam
yAjayashrI
yAmtyAHsar
yAmtyAmuhu
yAsyAmItis
yAtAHkimil
yAtrAmamga
yadIyabala
yadipriyAv
yadismarAm
yadvismaya
yatrAkRtis
yatraxipAm
