AdauveshyA
AkhyAyikAm
AkumchyapA
Amamtramaj
ApAmDurAsh
amgulibham
arthomAmaj
asArekhalusamsA
atumvAmChativAh
ayampaTome
bhRkuTIkuT
bhasmAmgul
bilAdbahir
datvAdishi
dhAmyAkamA
dhatevaxas
dvijarAjas
ekAbhAryAp
gamayatiga
gatAkechit
gatvAdvAra
gaurItamur
jagdhvAmAS
jihvAyAshC
jihvAyAshChedam
kaTImuShTi
kalamAgram
kamalekama
keshalumch
khaTvAmitA
krayavikra
meruHsthit
mumDojaTil
pAmautAmra
pIThIpraxA
pUrvamcheT
parAmprApy
preShakaHp
ramDApImap
rerelokAHk
sAmagAyama
sadAvakraH
shRmusakhi
shixitApis
shramamaHs
svayampamc
tamasivarA
tasmAmahIp
udaradvaya
upabhuktak
vAchayatim
vairAgyabh
varmamaday
vimAmadyam
vimApitAte
yadaxibhrU
yatmotthAp
