amyomyAsph
chamchatbh
deshaHsoya
kRtamamuma
mAhamraxom
pAtAlataHk
rAjmomAmad
raktotphul
redhRShTAd
saroShadaS
spRShTAyem
trailokyat
yaiHprAmAp
yatsatyavr
yemasvAmvi
yoyaHshast
