ambujamamb
chaturShva
chitramahA
chitramkam
chitramkamakala
dordamDAmc
eShavamdhy
idamtAvach
jAtAlatAhi
kAkutsthem
kamalamama
kasmaikimk
kathamupar
kimbrUmoha
kimkramiSh
mUkArabdha
makemApish
pashchAtya
ratmabhiti
sthAmuHsva
tasmimyudd
vipulemasA
yugAmtakAl
