adyApyumad
amtrAkalpa
ashakmuvam
gIrvAmAHpr
idamaghoma
kimchitkop
mAdyamAtam
mahApralay
mamthAyast
miHshamkambahir
mirmajacha
prauDhachC
tataHparAm
vimirgatam
