AdAyamAmsa
apahastita
arthohikam
asahAyaHsahAyAr
astamgates
asyAHkusum
athabaddha
athedamrax
avishIrmak
axatrArikR
bhUmausthi
daiveparAg
deshedeshe
dhRtvApada
dhruvamdhv
dhvastaHkA
gRhimIsach
hAmAtastva
hatvApatim
iyamiyamay
kamakahari
kohambrUhi
madarthasa
madekaputr
madhyAhmed
mitamdadAt
pAtumaprat
priyasyasu
sAxAmaghav
sadyaHpurI
sarvepivis
shIlAmitec
shaishavAt
utkhAtadai
vamImumImA
vatsagachC
vikRmtatIv
vipimekvaj
yAkelichyu
yAsyatyady
yasyatvayA
