AmUlAdratm
AtmAmamkav
ahamapipar
alamkArAdUramsa
amRtamchAT
amRtotprexamerA
amamtapada
apUrvobhAt
apimudamup
arthAmkech
asthAmegam
avayaHkeva
ayamevAgum
bhUtAvesha
bhUyodarsh
bhavamtovA
bhujataruv
dhamyAstek
divamapyup
durvAravAd
ekadvyaxar
ekaivakavi
gItasUktir
herAjAmast
itaratApas
jIvamlikhA
jIvamtipIt
jayamtitep
jayamtites
kAtaryamdu
kAvyamayog
kAvyaprapa
kAvyeShukomalad
kalyAmambh
kasyAmchid
katipayami
kavImAmAma
kavayaHpar
kaverabhip
kaviHkarotikAvy
kaviHkarotikAvyAmivi_1
kaviHkarotipady
kaviHpitAp
kavitAkriy
kavitAmAma
kavivAkyAm
khyAtAmarA
kimchAruch
kimkavestasyakA
kimtemakAv
kimtemakil
kumThatvam
kurvamtukI
lagmamkavi
lamkApateH
likhamtuka
mAchamgImi
mAramasvam
mAstiviShA
maduktishc
magamdhika
mahIpateHs
maiyAyikAm
makAramama
makIrtirmo
malekhamyA
mamdamixip
maulaumamd
midrAmvidU
midrAtimai
padavyakti
prashamsam
prastAvehe
pratIyamAm
rAmomAsaum
sAdhvIvabh
sAhityesuk
sahRdayAHk
sajayatika
samtishvAm
satyamsamt
shIlAvijAm
shabdAkhya
shabdArtha
sphAremasa
stutamstuv
sukaveHsha
svaprajmay
svechChAbh
tArkikAbah
tarkeShuka
tarkekarka
tatkimkAvy
tatvamkima
tebhUmIpat
tedhamyAst
temamtavAm
tiShThatig
trailokyab
upAdhistum
upamAkAlid
utphulagalairAl
vArtAharam
vadamtukat
valmIkapra
varmayamti
vayamotevi
vidvatkava
vigumopikA
yAmevashab
yAsAdhUmiv
yAsyatisaj
yadAprakRt
yadiprabhu
yamvidmait
yatsArasva
yatsamdarb
yeShAmkoma
yepyAsamib
yoShidvasa
yuvatvemam
