Apatsamudd
amgamavedI
arthaHsukh
chalamtigi
grasamAmam
kAmtAkaTAxavish
kRtampuruS
kadarthita
mimdamtumI
ratmairmah
saevadhamy
sahaparija
shlAghyAma
viramavira
