amamgemAba
bAmeShvAro
chamdreshI
chetobhuva
ekamvastud
hArojalArd
hRdayatRma
ixurdamvas
jayatimama
kAmtetyutp
karpUraiva
kulaguruba
kusumasuku
magamyomam
makaThoram
prAsAdIyat
saekastrIm
sampadamat
shambhusva
shivashiva
stokAstras
vaxaHsthalIvada
yAbhiramam
