abaddhovAs
adharmepat
ajmAtapAmD
ajmaHsukha
amtaHsArav
amtarbhUto
aramyarudi
arthostich
athavAbhim
atyarthava
avadyajamb
avidyAyAma
avimayabhu
baddhAyada
bahUmimara
bhArovivek
boddhAroma
chetaHpras
dUrjamaHpa
durbodhamy
grIvAstamb
gumigamaga
jIvitaivak
jaDeShujAt
jihvAyAshC
jihvAyAshChedam
jmAmavidyA
kAkasyakativAda
kAvyAmRtam
kAvyebhavy
kETlAgpamD
katichidud
kavImAmaha
keShAmchid
kvadoShotr
labdhAspad
labhetasik
mAmagramth
mAsAthUtkR
mAtAshatru
mIchastamo
mImAmsApaT
mUrkhaHsva
mUrkhachih
mUrkhatvam
mUrkhohija
mUrkhopimU
madopasham
madvAmimAk
miHshamkamyatad
mirgumaiti
muktAphala
padadvayas
parashlokA
peTIchIvar
prAduShyAt
prasahyama
pustakeShu
rUpayauvam
sAhityasam
sAkUtamija
sAxarAvipa
sarasvatIm
shakyovAra
shatamiShk
shiraHshAr
shlAghyaiv
shobhatevi
toyamirmat
uchairapiv
upadeshohimUrkh
upapatibhi
varamdarid
varamparva
vidureShya
vidyAvidhi
vidyayAsha
vidyehRdya
vimAmasAhi
vitIrmashi
vitaratigu
vivimaktim
vyAlAshcha
vyAlabAlam
vyAsAdImka
yArAkAshas
yAtAsteras
yadAkimchi
yasyamAsti
yasyamAstivivek
yeShAmavid
yekevichit
yesamsatsu
yetAvatsva
