AdAyavakul
TapaxeviTa
amItaTasam
amamyaxuma
apahAyasha
aravimdavR
bhRmgAlIka
bhixitakam
chUtashrem
chamchatka
cholAmgamA
daraphulak
daravigali
dhumvAmAsh
eShakrIDAm
etepATIrav
jhamjhAmil
kAverIvAri
kRtvAkArmA
kupyalamke
kusumapari
lAtAkumjeg
lIlAdolAti
latApuShpa
lavamgalat
mArImAmRga
prAtaHsIma
purAtamapa
rAmAmAmram
salalitama
stamaparis
suratabhar
uShasimala
utsAryakum
utsiktaHku
vAramvAramdhuta
vAsovidhUy
vRthAdhUlI
vaibhAtiko
vikachakam
vilulitaka
