AchArAtlab
AchAraHpra
AchArahIma
AchAraprabhavod
chirAbhipa
dhyAmapUjA
etAdRsheka
gAyatrImAt
mamgalAchA
parityajed
paropadeshasama
sarvamAshesamut
satyadharmAryav
shramamaHs
svAdhyAyemityay
tarkoprati
vRtamyatme
yamAmAtams
