AvayoHsamg
amekairmAy
amyayAmyav
bhadramukh
bhrAmtashc
cheTyaHkad
dalitepalA
imduryatramamim
khAdamemac
krayAdauSh
mugdhemugd
mukhabhRtA
sphItoyamj
suratamtad
