AkhyAtamAm
AmamdamiHs
Amtaramiva
adhvamipad
amRtajalad
amabhravRS
amtargUDhA
amubhAvavi
arthogirAm
aviditagumApisu
bhramarahitAsAk
dharmArtha
gumphaHpam
kAmpRchChA
kAvyasyAmr
kAvyasyAxa
kRtamamdap
khyAtimgam
kiyadvAram
mabrahmavi
maivavyAka
mamastrail
mamomamaHk
mavoktirjA
mimdyamtey
miravadyAm
mirhrAdamk
mugdhAmAma
pamkairvim
parichChim
prItimdadA
prasaterya
prayachCha
ramyArthok
ramyamjugu
rerekhalAH
sAkavitAsA
sAmamdapra
sadAmadhye
sadbhirbhA
sahodarAHk
samdhisamd
samulAsovA
sarasApika
sarasAsAla
sarasapari
satkaviras
satpAtropa
satsUtrasa
shabdAmvic
shabdashak
shliShTAsa
tadevakAvy
taevapadav
umAmimAmsamudvI
vAmImamaiv
vAmitvatpa
yAtAyAmtic
yadasevamI
yamtrAkRSh
yathAyUmas
