AdAmasyapr
Adityasyag
ArAdhyabhUpatim
AyuShaHxamaekopisarv_1
Ayurmashya
adyaivahas
ahorAtrAmi
apsuplavam
ashamameva
avyaktAdIm
bhaTirmaSh
bhagIrathA
bhrAtaHkaS
brahmAviSh
hrasvAshch
iShTAbAlak
kAlemaxiti
kAlovAkAra
kAmshchitk
kariShyAmi
karmabhATa
mAmdhAtAch
mAmdhAtAsa
mAmdhAtAsamahIp
mAsartudar
mAtuloyasy
malimIdalagatajalama_1
mamdamtyud
maramampra
mriyamAmam
muktAmamit
prAptAjarA
prahlAdash
puramdaras
sAramyAmag
sadayamhRd
vedAhiyajm
vyomaikAmt
xamambAlob
yadbhagmam
yatrAmekaH
yatrAmekek
