AtmArthamj
aShTAdashapurAm
bhavamtimamrAst
dAtuHparop
dhamAmijIv
jAtasyamad
kRChrAmuvR
padmAkaram
paropakArA
paropakAraHkart
paropakArashUmy
paropakRti
rAgimimali
ravishcham
shrotramsh
tRmamchAha
