AghUrmitam
AsAmvratam
AyAmimosta
RmIkRtAkim
amamgamamgalabh
amuShyamuS
arjumaHkRS
atipUjitat
bhAsvatkum
chakoramet
dRshaukima
ekamevAxiv
iShutrayem
imdIvaraml
kAmimImaya
karmotpale
kedArabhAj
lochamehar
mRgasambam
mUmamAjmAk
malimamali
matabhruvo
mayamachCh
mayamasyat
misamashob
mukhAravim
mukhavidhu
pravAtamIl
rAmAvilola
seyamRduHk
shrUyatAmk
shramayati
shrutilamg
svadRshorj
tasyAHshra
tvachaHsam
yadisyAmDa
