akRtvAhela
amkAdhirop
bAlAyAmava
bAlasyApir
dIpyamtAmy
darshitatA
ekaHsaevat
ekachakror
hastIsthUl
hastIsthUlatara
madasiktam
matejastej
maumIpAdap
sAdhamamsu
shamayatig
simhaHshis
svalpasmAy
svayampram
tIvroShmad
tajohImema
tejasvimad
tesasvimix
tulyeparAd
yadachetam
yemapAShAm
