adhItyachaturovedAms_1
ajmasyArdh
athavAbahu
dhUmemAvri
dikAlAdyam
dvAsuparmA
dvebrahmam
etamekevad
hamtatekat
ichChAtUli
jayatiprat
mAtAmAstip
maimamChim
mayAchatva
mirupAdAma
mukhAlamkR
shivochChi
shrutervAc
svemasvame
trayIsAmkh
yachaxuShA
yomtaHprav
