Adityasyag
AhAraHphal
Alochamamc
AsamsArAtr
AshAmAmama
AshAmiShTh
AstAmakamT
AsyamyasyA
AsyamyasyAHsudh
AyurvAyuvy
ahamkArakv
ahauvAhAre
ajAmamdAhA
amgamamgem
amtaHshUmy
amyatrabhI
ashImahiva
atikrAmtaHkAlol
avashyamyA
bAlAmAmiya
bIbhatsAvi
bhUHparyam
bhasmoddhU
bhedAbheda
bhixAhAram
bhogAmabhu
bhogArhema
bhogerogab
buddherago
charmakham
chiramdhyA
chitabhUvi
dAmemapAmi
dArAHparib
dRShTvAved
dRShTvaiva
dadhatitAv
daimyamkva
damtaiHpra
deshedeshedurAs
dhAvamtaHp
dhAvitvAsu
dhairyamya
dhamamtAvalabdh
dhamavAmit
dhamyAmAmg
dhigdhiktA
dimamekams
emAxIspRha
etadvaiHki
gamgAtIreh
gamgotumga
gatAstAtab
gataHkAloy
gataHkAloyatrad
gataHkAmak
gatasAretr
hemaHkArya
heyamharmy
itomakimch
jAtohamjam
jamaivavya
jihvelocha
kAryAkArye
kRmayobhas
kRshaHkAma
kRtvAdImam
kRtvAshast
kadAbhixAb
kadAvArAma
kadAvAsAke
kadAvRmdAr
kadAvRmdAramyev
kasmAtkoha
kaupImamsh
keshaHkAsh
kimkamdarp
kodeshaHkA
kuTumbachi
kuchautupa
kuramgAHka
kvachitkam
kvaitadvak
lATImetrap
lAlAmvaktr
lAvamyamta
lobhamUlAm
mAbhyastAb
mAtAyasyag
mAtarlaxmi
mAtarmAyeb
mAtarmedim
machAkArik
machArAdhi
madhyAtamp
mahAshayAb
malayAmila
mamtrodbhA
mamyemAyey
maprAptAmi
masamsArot
mavamIlame
maviShayab
miHsmehoyA
mikhilamja
mirvivekat
mitamAyurv
mityAmitya
mityamAcha
modharmAya
pAShAmakha
pAmiHpAtra
pUrayitvAr
pUrvamtAva
pareShAmch
prAdurbhav
prAmAmAmam
prAtarmUtr
prachamDav
pratixamem
pumaHprabh
pumyairmUl
putraHsyAd
putradArAd
putramitra
rAgimyapiv
rAtriHsaiv
raktamAmsa
ramyamharm
rathyAmtas
ratmodArac
sArvabauma
sUktimkarm
samAshliSh
sambhogAdv
samdhyAvamdamab
samtyekedh
sarvAshuch
satyamvakt
saujamyAmb
shAmtikamt
shayAshAdv
shiromyasy
shriyodolA
smArasmera
stamaumAms
suramamdir
svAmImishv
tRShAshuSh
taDimAlAlo
taratarala
tetIxmadur
trayamtasi
tvamAmsaru
udghATitam
utAmochChU
vamAmyamUm
vedasyAdhy
vidyAmAdhi
vipatprash
vyAdhrIvat
xAmtamaxam
xamambAlob
xomIparyaT
xudvyAdhis
yAmchAshUm
yAtamyauva
yAvataHkur
yadAsaudur
yadetatsva
yadvAtmAma
yadvamadyo
yasmimvish
yatraikams
yatxAmtiHs
yeShAmvala
