adhibhilap
alamkArAdU
amyavarmap
apragalbhA
asaudhvami
asaushRmut
atiramamIy
avayaHkeva
avyutpatik
bADhamkavI
bAlAkaTAxa
chiramadhu
daivIrgira
devabhAShA
dhigastvas
drAghIyasA
durjamahut
ekadvyaxar
gRhmamtusa
gamayamtim
haThAdAkRS
kAvyAmimah
kAvyamkaroShiki
kalamkachC
karmAmRtamsUkti
kavImdraiH
kavibhirmR
kavirAdhum
kaviramuha
kimkavesta
kimkavestasyakA
lIlAlumThi
mAgAgirIsh
mAkavitvam
mApexeshab
mAstichorA
mavImakava
mavImakavi
mavarmyava
miyamtraya
mudhaivade
mukhamAtre
parishrama
prAyaHkuka
sAhityapAt
samAdhaupr
shaktimvyA
shlokAdeSh
shlokArtha
shrImAthas
smAmavairI
stuvadbhav
svAdhImora
svargAmarg
tyaktamCha
vRtambhamj
varmayamti
vicheShTit
vipulahRda
yaHsatpada
yaHsyAtkev
