AbAlyampat
AdAyAdAyam
AdAyaprati
AdarshAyas
AgmeyAstra
Ahavejagad
AkAshapras
AkRShTekav
AkRShTeyudhikArmuker_1
AlAmamjaya
AlokAmtapr
ArtAmAmiha
AsIdAsImab
Ashailemdr
AshvAsasme
Atmamyasya
AvimdhyAdA
Axepavacha
AyAtastesa
AyurdAmama
Ayustemara
Chamsaimya
aTatkaTaka
abhimataph
abhyuddhRt
adAtAramdA
adhAxImola
adhItibodh
adhovidhAm
adhyAkrAmt
adyadhArAm
adyadhArAs
agmihotramukhAv
ahoraghush
aishvaryam
ajasramabh
akAmDadhRt
akhamDamam
akhamDitAs
alaukikama
amalpadagd
ambhaHkard
amemaparyA
amemasarvA
amgAHsamjA
amitaHsami
amtaHpurIy
amtarviShm
amuShyavid
amuShyorbI
amyArthama
amyAstAgum
apUrveyamd
arAtivikra
ardhamdAma
arthibhram
arthimAmkR
arthipraty
asharmadah
ashuchirva
asidhArApa
asmAkampar
asmimdigvi
astrAmAsat
asyAriprak
asyashrIbh
asyaxomipa
atramamath
atyAdarAda
atyAsamAvimAshA
atyAyatair
atyuchAHpa
aviralakar
ayamArtamD
ayamdaridr
ayeyadisam
bAlakrIDam
bAlopimAva
bAmakaravI
bIjamchimt
bahudhArAj
balAlaxomi
balamArtab
baliHpAtAl
balikarmad
bamdIkRtya
bamgAlidAs
bhImakAmta
bhImamyaja
bhUShamAdy
bhUbhRmaul
bhUyobhUya
bhadrAtmam
bhagmAsuri
bhavAmhibh
bhavatAmah
bherIjhAmk
bhixudvAri
bhobhoHshr
bhogAsakta
bhojapratA
bhojapratApAgmi
bhojatvadA
bhojatvatk
bhrAmtvAbh
bhujamgabh
chakorAmAm
chakraHpap
chamdramch
chamdromem
chimtAgamb
chirAdaxmo
chirAdyatk
chitrAbhir
dAmekalpat
dAridryadA
dAridryopa
dRShTAmtom
dRShTaHsAx
dRShTvAmam
dRShTvaivA
devAdhipov
devashrImR
devatvAbha
devatvadAm
devatvamal
devatvamev
devatvamja
devatvatka
devatvatkarumap
dhArAdhIsh
dhArayitvA
dhAreshatv
dhArmikamp
dhairyalAv
dhamAmivid
dhamilemav
dharamidha
dharmampAl
dhatemAyak
dhavalakus
digIshavRm
dorbhyAmti
dordamDadvayaku
dudohagAms
dvAramkhaD
dveShyAkIr
dvirbhAvaH
ekAbhUtkus
ekAdasharu
ekaevamahA
ekamevagum
ekamkAmcha
ekamvastuy
ekastridhA
etAHsampra
etadamtiba
etadyashaH
etasyomata
etemotkRta
gADhakAmta
gAjIjalAlu
gAmbhIryem
gAyamtukim
gamDAbhoge
gamDaupAmD
gamgAyatya
garvAvesha
garvagramt
gehegehesu
girayopyam
gotrAchAra
gumabhedav
hArAmAhara
haravamavi
hastAmbhoj
hastIvamya
hastamyast
heShamteya
helAprasth
himashishi
hitvAdaity
hitvAtvAmu
hutamiShTa
idamRpaprA
imdrAtprab
imdustvady
jambudvIpa
jayashriya
jhagitijag
jitemdriya
jyAghAtaHk
kAShThAmuS
kAThimyamkuchak
kAlimdibrU
kAlovAkAra
kAmamRpAHs
kAmamesari
kAmamkAmas
kAmchImkAm
kAmovAmadR
kAshRmgAra
kIrtauvyAp
kIrtiHshrI
kIrtiHshrIraghu
kIrtiHshrIraghuvamsh_1
kIrtisteda
kIrtisvarg
kRShmatvamghama
kRtamchaga
kUrmaHpAdo
kUrmaHpAtA
kalpadrumo
kalpataruk
kalpaxomir
kaluShamch
kalyAmambhavatA
kamalabhUt
kamalevama
karakampit
karavAriru
karmATamde
karpUrapra
kasteshaur
katimaviSh
