AtapedhRti
AyAtiyAtip
bhamktvAbh
chakrAhlov
daShTatAma
ekemAxmApr
gamyatAmup
ichChathAm
mitrekvApi
ratikelika
tIrAtIramu
vApItoyamt
yachChatip
