AdaugRhIta
agadArkama
bAlAyAmava
bhUShamIya
bhadramukh
bhrAmtashc
budhemakAm
chamdamava
cheTyaHkad
dRShTvaikA
dalitepalA
dampatyorm
dhamyAsiya
dhvastamke
eShAkApira
ekemaromam
etatkAmaph
gADhAlimga
gADhAlimgamavAm
hRdirUpamk
imAmyadhik
imduryatramamim
kachakucha
kimkAramamstama
krayAdauSh
midrAkaita
mirvAmagoc
mukhabhRtA
pAdAmguShT
paThatirah
parikalpya
rAgIbhimat
ramDAHpASh
rathyAyAms
sItkAramsh
skhalitAch
sphItoyamj
stUyatestU
suratamtad
tAratArata
tAvadevaha
tavoChritA
utkrAmtash
yAsharAmda
yadrAtraur
