adyArabhyayadip
akaroHkimu
bharturyas
idamkRShma
kathamapis
kekAbhiHka
mAmavyAdhi
mAmomatety
mavamakhap
miHshvAsAv
mochATushr
sphurasibA
tadvaktrAb
upachArAmumayAs
yatpamkeru
