AdaugamiSh
AhArogaralAyate
AstAmvishv
bahvetatkA
barhastvac
bauddhAgam
bhobhoHpAm
deshairamt
gamdhahImA
gamtavyamy
midrebhadr
pAmDurasim
prAsAdesAd
prakAshesa
prayAtesta
priyeprayA
promChatid
pumaruktAv
raktastvam
sUxmAmgImt
samRddhaku
samesamAsa
temAmasamt
vijmaptire
yadisAchAr
yadismarAm
yeShvAvayo
