AsAditapra
aimdramdha
amIpRthust
amIsamudbh
amuvamamva
apAkRtyAsh
ardhamsupt
asAvamAsth
athaprasam
chamdrAyat
chetaHkarS
dadatamamt
darshamtis
dhamyAHsha
dvayamidam
ekemachulu
hamsashcha
ihamichulamikum
jagatimais
jagatprasU
kAshAHxIra
kRtAvadhAm
kRtamadami
kamakabham
madhumadhu
mamitAHpha
mukhairasa
mukhasaroj
pAthodajAl
pamkAmuSha
patamtimAs
payodakesh
rAjIvamiva
ramyamharmyatal
samayaevak
samulasatp
savikachot
sphuTamsph
tIxmamravi
tamuruhAmi
upaitisasy
vAmtikahlA
vAmtirAtra
vRddhAmgam
vigatasasy
vihArabhUm
vihAyavAmC
vipAmDubhi
