RtvikpurohitAch
abhyAsyaml
asambhramo
hImAmgAmat
jAyatevidu
khalAmAmka
labdhAspad
lobhohetur
mArgemArge
mabhetavya
pAThamairg
prAjmAmAme
prajmAvive
sargAmAmAd
uchairudgh
vidvatAmpr
virodhamot
