AhUtAmAyAs
AshAsurAsh
akachaTata
dehachChaT
dhAtushcha
dorbhiryuk
hamsAyamAm
jalampaxec
jayatijaga
jyotistamo
karabadara
kavisAmAmy
kimayAsRSh
mamestivid
pAtuvomika
pradIpajvA
sUxmAyashu
shAradAshA
sharamamka
tadivyamav
tamogamavi
tavakaraka
vachAmsivA
