AHpAkamaka
AkAramesha
AropitAshi
AstAmvishv
AyAtAsivim
ahamivadim
amAryapraj
ambashvash
ayamrevAku
ayekojAmIt
bhadramtas
bhavamamiv
bhopAmthap
bhopAmthat
bhrAtaHpAmthapa
bhrUbhedai
brahmaivas
chetpaurAd
dRShTimhep
dRgbhamgab
dRshAkimch
dehedurlal
divaseghaT
durdivaseg
dvAristamb
eShaivayoS
eShyatimAp
ekAkimIyad
ekAmtebata
etevArikam
goShTheShu
grAmatarum
grAmesmimprasta
hamsaiHsha
ihamagarep
ihavaTavRx
imduryatramamim
iyamsurata
jamaivamAs
jmAtAmaitr
jmAtamjmAt
kAryemApiv
kAryesatya
keliHprada
kimitikRsh
kulapatama
kutrAyAsIH
mAmbujairm
mArImAmkha
mAthomevip
mayAkumAry
mibhRtamib
mibiDatama
mitambimyo
myastampam
pAmaugRhIt
pAmthamamd
pRthvItAva
paryamkaHs
pashyamtis
patiratIva
priyomayai
rathyArajo
rerepAmtha
sakhisukha
samdigdhep
sampatkasy
savrIDArdh
shUmyamves
shirashish
shushrUShasvagu
smartavyAv
sthitirgeh
subhagamva
sukhashayA
svAmImiHsh
tAmbUlAkta
timirepidU
tvamivapat
vAmijyemag
vIxitumaxa
vayambAlye
yAmimyeShA
yaHkaumAra
yadavadhivivRdd
yadibhavatidaiv
yadigamtAs
yasyabhAryAvirU
