AgamiShyam
AtmAdhImas
achimtitAm
akRtvApara
akimchamas
amAgatampr
arthIkarot
chIrAmikim
chiteprasa
dRShTipUta
gamdhADhyA
gatArthAmA
gateshokam
mRtyurmAdy
mamimdayAy
mayojamash
migRhItemd
pamchameha
prasAdesar
samtoShAmR
samtoShaHp
samtoShamp
sarpAHpiba
sarvatrasa
tamUlamgur
tedhamyAHp
vayamihapa
vedokhilod
yamovaivas
yemakemapr
yomegarbha
