amkolamija
bhaktyAsid
dAmatIrtha
gamgAditIr
madevovidy
pItomAmbum
premAmRtem
shravamamk
shrutismRtipurA
svamAbhiga
yArAkAshas
yadiShaTpa
yuShmatkRS
