ekayAdvevi
gumampRchC
kRShigorax
kasyadoSha
kasyaikAmt
kolAbhogum
lubdhasyam
masIdamapi
prapAyAmpI
samtoShAmR
samtoShamp
sarvampara
sukhamApat
vyasamAmam
yAvajIvets
