ChAyAsamsh
amgamchamdamapAmDupa_1
asmadripUm
asvAdhyAya
bhAmoHpAda
dhatepadma
duHsahasam
eShasUryAm
kAshmaryAH
kiratimihi
madhyAhmec
madhyAhmeh
madhyAhmem
pAmthAmAmp
patrachChA
ravermayUk
sarpatsAri
skamdhAmsi
spRshatiti
svesvekarm
tarumatara
uShmAluHsh
udAmadyuma
utaptoyamu
vahadbahal
vishamtImA
