Abadhmampa
AbhugmAmgu
AbhyAmkuch
AghUrmitam
AkrAmtesha
AmamamRgas
Arabdheday
AsAmvratam
AsAyamsali
AtmaivatAt
Avartyakam
AyAmimosta
RmIkRtAkim
UruHkuramg
UruprakAmD
abalesalil
abhilaSham
abhyumatAm
adharamamR
adharamkha
adharosauk
adharoyama
ajIyatAvar
ajmAtemdup
alpamirmit
alpemApisu
amAkeshech
amUlyasyam
amamgamamgalabh
amamgaramg
amamuramam
amamyasAdh
ambujamambumima
amemarambhoruta
amgemakemA
amuShmilAv
amuShyamuS
amuchChiSh
amyomyamut
aparyAptab
apimRgAxit
apitadvapu
arjumaHkRS
arumdhatIk
asAvamtash
asAvudvela
ashrAmtamd
asitAtmAsa
asmimprakR
astyaprati
asyAHkaras
asyAHkhalu
asyAHpITho
asyAHpadau
asyAmapUrv
asyAmukhas
asyAmukhasyAstu
asyAmukhemaivav
asyAmukhemdAvad
asyAmumImA
asyAyadaSh
asyaivasar
atibahutar
atipUjitat
atumgastam
atyapUrvas
avivekikuc
ayamtrayAm
ayemAtardR
bAhUpriyAy
bAhUtasyAH
badarAmala
badhvAhriy
bamdhUkaba
bhAsvatkum
bhAtimirvi
bhAtiromAv
bhrUbhyAmp
bhrUrekhAy
chAturyasy
chakoramet
chakremavi
chaladbhRm
chamchatkA
chamdrAdhi
chamdramka
charamakam
dRshaukima
dRshyamtem
damtAlidAD
daridramud
dashakaira
datamayApa
dayitAbAhu
dehamhemad
dhiktasyam
divAmisham
divArajamy
dvidhAvidh
eShyamtiyA
ekamevAxiv
ekamevabal
etatkuchas
gabhIramAb
gambhIramA
gaurIvapat
gauramugdh
harakrodha
hemamamjIr
iShutrayem
ihAvishady
imdIvaraml
iyamsRShTA
iyamsumaya
jAgrataHka
jAmerAtriS
jAmetirAgA
jAmubhyAmu
jAmusthApi
jagadvadhU
jagametrAm
jambIramvA
jambIrashr
jamghetadI
jitemdupad
kAThimyama
kAmakArmuk
kAmchIgumairvir
kAmimImaya
kadalIkada
kalashemij
kamThasyat
kamThasyav
kamakakram
kamamIyatA
kapolapAlI
kapolapatr
karAgrajAg
karatalayu
karmotpale
kavitvagAm
kechitilas
kedArabhAj
keshAmdhak
keshAmvAma
kimarmadAy
kimchitsav
koShaHsphI
kramodgatA
kuchAvasyA
kuchadurga
kuchadvaye
kuchakumbh
kumbhausad
kusumAyudh
lAvamyamad
lambhitAHk
likhamtyAH
lochamehar
lokekalamk
mAbhIbilAm
mAbhIvalay
mAbhiramdh
mAbhisamge
mAgemdrast
mAhamdhAry
mAsAdasIyA
mRdvamgika
mRgasambam
mUmamAjmAk
madhyAtsam
madhyamtam
madhyamtav
madhyatriv
madhyemasA
madhyemata
madhyoyamb
malimamali
mamumIlAmc
mamyemumAk
mamyesamAp
mamyetadUr
matabhruvo
matvAchApa
mayamachCh
mayamamIra
mayamasyat
miHshamkas
mirmetavyo
misamashob
mitambabim
mitambagau
mitambapID
mugdheprat
mukhAravim
mukhAravimdadat
mukhamvaha
mukhavidhu
mukhemduch
muktotkara
pRthuvartu
paTavighaT
parihRtyad
pashyamhat
payodharag
payodharas
prAyashchi
pratipaxoy
pravAtamIl
pravishajh
priyAmukhI
priyAsakhI
puShpampra
puShpeShor
pumsAmdars
purAmabAma
rAjatitriv
rAjaudvijA
rAkAyAmaka
rAmAvilola
rachayatiy
rajyamakha
rambhApiki
ratyAptapr
romAvalIda
romAvalIra
romAvalIvi
romAvalibh
sAdhArayat
sAdhuchamd
sAstamAmja
sakathamas
samprAptac
samtatoday
samuditaku
saraleevad
sarvasyaiv
satAmsamAl
saumdaryap
saumdaryasyamam
seyamRduHk
shabdavadb
shamketach
sharatkAla
shrUyatAmk
shramayati
shrotrapIy
shrutilamg
shukIchamc
smAramdham
smarakalpa
smaramAmas
smehasamva
smitajyots
spRShTastv
sphuTamasa
stamabhArA
stamabhAro
stamaubhAr
stamautumg
suShamAviS
sudIrghArA
sudhAbaddh
suviralama
svadRshorj
svakIyamhR
svarmAvadA
svarmachCh
svayambhUH
tAlIdalamk
tAlamprabh
tAmiprAmch
tadIyajagh
tadIyatriv
tadvaktram
tamitambas
tamvamgyAH
tapopakamT
tarumUruyu
tasyAHpAda
tasyAHpadm
tasyAHprav
tasyAHshal
tasyAHshra
tasyAmukha
tasyAstumg
tatkuchauc
tatpAdamak
tavaiShavi
tumgAbhoge
tvachaHsam
tvampIyUSh
uChvasamDa
udbhedampr
udbhimkimi
umUlitAlAm
urojavacha
utthitomis
utumgastamabhAr
vRtAmupUrv
vahamtIsim
vapuramupa
vaxojaumib
vayaHpraka
vayasIshis
vidhAyApUr
vidhAyamUr
vidhorvidh
vilasatyAm
vilokitAsy
vimAsAyamk
vistArimAm
viyogabASh
vyadhatadh
yAmematamv
yAvadyAvat
yUmAmdhair
yUmAmohama
yaHsasarja
yadamarsha
yadisyAmDa
yamabhAtit
yamjusimji
yathAyathAyamva
yuktamadhy
