AhUtopisahAyair
ArAtkArISh
adhvamyair
adhvamyasy
amyomyAhat
bhrAmyachI
didRxamAma
etasmimdax
grIShmoShm
hemamtehim
hemamtepat
hepAmthapr
ihamichulamikum
mishamyake
mukhampriy
pamkAmuSha
pumyAgmaup
repAmthAHs
sAtamvItig
samavaloky
samviShTog
sarvAshAru
savyAdheHk
shItArtipr
umIlamadhu
vAtAkIrmav
vakremashi
vasamtaprA
