Amamdakvac
Ashamkyapr
AyastAkala
amumayatip
bhrUbhedor
chakitahar
chalamchet
charamapat
dUrAdutsuk
dvArichaxu
ekasmimshayamev
ekatrAsama
mAmamlAmam
mabarIbhar
mabrUtepar
matiryagav
mayAyatesa
payaHpITha
prayachChatocha
purastamvy
sApatyuHpr
shomamvIxy
sphuTatuhR
tAralyamuk
talpopAmta
tatadvadat
tatashchAb
viramatika
