AbhAtibAli
AchChAdaya
Ahatamkuch
AkAshemaTa
AlolAmalak
AmIlitAlas
AstAmdUrem
AstRtebhim
AyAtedayit
IShamIlita
IShatkampa
IdRshasyab
abhimavapu
abhimukhap
amsAkRShTa
amyakAlapa
aprabhUtat
apyautsuky
asamukhAlo
aviditasuk
bAhupIDama
bAlAtamvIm
bahujagada
balAmItApA
bhAtumAmas
bhajamtyAs
bhujapamja
brahmAmamd
chArumUpur
chamdamams
chiravirah
chumbameSh
dRShTAdRSh
dRshAsapad
dampatyorm
darpameShu
dhairyamul
dhamilobha
dhamyAsiyA
dhamyAstAH
dorbhyAmsa
dukUlamdor
gADhAlimgamavAm
gADhAshleS
gADhAshleShavis
hArastruTy
hastamkamp
hemakumbha
itthamtalp
kAmasamgar
kAmtayAsap
kAmtekAmch
kAmtekalit
kAmtetalpa
kAmtetathA
kalgutkuch
kamThAshle
karakisalayamdh
khidyatikU
khimAlasam
kimapikAmt
kimchaitai
kokaHstoka
kvachitAmb
mAryastamv
mIramdhram
mIvIdRDhAr
mIvyAmsamy
mRShTaTamd
madhupAmas
maiShAvega
makhaxatam
marairviph
matebhakum
mepathyAda
miHsheSham
midrAtumdi
mirlopauku
mirvRtesur
mugdhetavA
mukhamjRmb
muktAHpata
muktAbhUSh
pAmipalava
pAmirodham
pRShThekam
paTAlagmep
papAtagamg
papAtamero
pashyamtIm
patatutavo
patyuHprav
prAgalbhyampuru
prAmAmetit
prApyamama
prApyatesm
prArabdher
prArabdhev
prabhAtepR
prashAmtem
pratixamas
pratyUhaHp
prexamIyak
priyAyAHpr
priyakRtap
rAjaterAja
ratAmteprA
ratakhimat
ratirabhas
raxAmAlika
sAxAdabhUt
sItkRtAmim
sakhidasha
samAkRShTa
samdaShTAd
samgatAbhi
samvaramAy
samyAsamak
savyAsavyo
shAmtemama
shamkAshRm
shashapada
shayAmasyo
simdUramra
sphuradrom
sthagayatitamaH
subhruvAma
suratavira
suratechas
sutamushru
svAmimbham
svAmimprab
svimmamDal
tamAstikAr
tamaHstomamsoma
tamdrAtumd
tasyAHpATa
tavatamvit
tvamugdhAx
uShasipari
uddhatairm
ugrarUpamk
upabarhama
uroruhAmbh
vAramArtha
vIrAyiteSh
vaktrasyam
vaxastedRD
vidhRtAHpr
vihAyasivi
viparItama
viramamAth
vishramArt
viyativilo
vyAlolaHke
vyAmishrai
yAvakarasA
yadrAtraur
yadyadevar
yatramavad
yoShitaHpa
