AtmamaHpar
bahavastey
damtahImas
ghaTopaviS
kAvyeShukomalad
maiyAyikAm
mugdhAmAma
rAgadveSha
ramyAshcha
shabdAmvic
tArkikAbah
upAdhistum
vAmIrasava
yoShidvasa
yogAmamdam
