AyatAgrasi
achChaprak
amgamkepis
amgulIbhir
amkamkepis
arumakiram
asauhidatv
asitaruchi
astamgatav
atrAmtarec
avAptaHprA
ayampuraHp
charamagirikura
daShTejaga
digyamtrat
dimataptAm
doShAgamam
imdorekaka
jaraThaiva
kAshmIrema
kRShmavarm
kalAdhimAthAmay
kalamkadAs
lAlayamtam
madhuvrata
maktamyodh
malalavami
mamapriyAm
mamdamagmi
mamthAmabh
mavakumuda
maxatraxit
medamabhom
mishAkAmtA
pibativyom
pradoShamA
prakaTamal
ramkAvamka
ravimAvasa
ruchibhira
samayashab
samshliShT
sapadikumu
shambarAri
shashimAch
shivabhAlA
svarbhAmup
tarumatamA
tavamukhas
udayamudit
vRmdematAr
vikasitamu
yAtasyAsta
yasyakArmu
yaxamvirah
