UrdhvAxaHp
asyAHsarga
chamdrasad
dayitAbAhu
ekasmimsha
ekavastumd
gachChatiy
hIyatehisa
imdimdirai
jIyAdravis
jaTAgulmot
krIDArasem
mamaTAmavi
maulaukimu
pipipriyas
samesamAsa
shyAmameva
strImAchap
tAvadevakR
tapasyatIv
tarumyAmIy
tathAbhUda
tvayiprasa
tyAgohisar
vAmijyemag
vardhatesu
yadevaroch
