AdhArAyadh
AkAramAtravijmA
adAtApuruShasty
apimAmasad
atyadbhuta
ayamijaHpa
bhujyamtes
buddhiryAs
dAtAmIchop
dehidehIti
dhamabAhul
dravimArja
ghaTamamvi
iyatyapyet
jAtashcham
jIvamjIvay
jarAmarama
kalpasthAy
karmalamghigumo
karmastvac
kiyatIpamc
laxmIpayod
mAptamyatk
mAxarAmipa
mRmAmdhuri
mityamyAgu
myAyamArga
pRthvIpRth
paripUrmag
pratyupaku
pumsAmumat
raxamtikRp
rudrodrimj
saivaparam
shateShujA
svachitapa
tvayisatis
tyAgogumov
utpAditAsv
yAchitoyaH
yaHprasham
yachChamja
yathAsharI
yudhyamtep
