AdAtumsakR
AlIchAlita
AstAmtAvadvacha
adbhUyetat
adidehalih
agAresmimk
amgAsamgim
amtastAram
apasArayag
apimaramam
astamitavi
asyAstamau
atrAshitam
bharturmit
chamdrashchamDa
dahyamAmep
daralalita
dhatechaxu
duHkhamdIr
ekavRxasam
gamDepAmDa
gamamamala
ghamoyamch
hAromAropitaHka
itovidyudv
jIvematuli
kamThemauk
kamalemidh
kapolaphal
kapolepAmD
karpUrAmbu
kathamapik
keshaiHkom
kisalayami
kusumitala
lIlAvalIbh
lImAmasUms
latAmUlelI
likhatimag
mAgAityapa
mAgAityapamamga
mAkamdAxip
mIvIbamdho
madamadaha
makrIDAsuk
mamItamupa
mamdamgaru
marAlashre
mavakisala
mayamotpal
miHshvAsAm
mikAmamxAm
mivishatey
mugdhAsvap
muktvAmamg
pAtayatihR
pImotumgas
parimRdita
parimlAmam
pratyAdiSh
prayAtesta
priyAvirah
ramyamdveS
sAtoramAmt
samdhyAmko
shIghrambh
shashabhRm
shliShyati
shyApuShpa
someShomas
stamamyast
sthagayati
svimaugamD
tamvamgyAg
vImAmamkek
valabhotsa
viShayavid
vishrAmyav
vyajamamar
xAmaxAmaka
yUyamvayam
yathAhipat
yathAkAShThamch
yatrAmekaH
