AdhAyakoma
achChimAmR
amRtamamRtamchamdras_1
ardhasmite
arkachChAy
asyAdhAmas
ayekeyamlI
gachChatim
idamasauta
iyambhujag
iyamsustam
jAmImahesy
karpUradhU
keyamshyAm
khelatkham
lagmampAda
madamamapi
meyamvidyu
pAtAlAdbhu
priyAdarsh
puraHsthit
sAyamchamd
sakhesAyam
seyamAmgeS
seyamsIdhu
shromIbhAr
skamdhevim
svairamsas
tAmamamgaj
taDilekhAm
utumgastamashai
vaktrashrI
vaktropAmt
xIrasAgara
