akalamkodR
amamtodbhU
bahavaHpam
bhujevishA
ekemApihis
kAkutsthas
kovIrasyam
likhamtuka
lokotaramc
mAsmimsamt
mAyAtivADa
mahimAmamt
sAmopAyama
samprApmuv
spRhayatib
vahmimshIt
vimApyarth
