AvayoHsamg
aShTAdashapurAm
akRtvApara
gomUtramAt
kartAkArayitAch
lobhamUlAm
masIdamapi
paThatomAs
rAjArAShTr
rAjmidharm
shreyAmsva
tapovidyAc
yathAhimal
