aShTauvyAk
adhigatapa
alamkaroti
amyAjagadd
arthAharam
ekamshAstr
gumadoShau
harturyAti
ihaturagas
kavIshvarAmAmva
kimkulemav
mapamDitAH
pamDitehig
prAjmohija
rohamamsUk
sadoShamap
saevarasik
samtashche
satyamtapo
shAstrAmya
shAstropas
shrutemahA
sthirAshai
udbhaTabud
veshyAmAmi
viduShAmva
vidvAmevav
vidvatvamc
vidyAvimay
vyAkhyAtum
yatravidva
